,2019,2020,2021,2022
Return on Common Equity (%),0,0,0,0
Return on Assets (%),0,3.95,2.23,3.65
Return on Capital (%),0,7.84,5.26,7.08
Return on Invested Capital (%),0,4.31,4.50,4.78
Gross Margin (%),63.03,62.33,63.78,63.03
EBITDA Margin (%),58.36,57.59,58.64,58.34
Operating Margin (%),35.39,32.79,33.69,34.15
Incremental Operating Margin (%),0,72.23,53.87,40.17
Pretax Margin (%),22.02,36.83,21.88,32.83
Profit Margin (%),17.62,31.54,17.49,27.31
Net Income to Common Margin (%),17.26,31.16,17.18,27.31
Effective Tax Rate (%),0,0,0,0
Dvd Payout Ratio (%),84.95,58.76,90.01,57.46
Sustainable Growth Rate (%),0,0,0,0
