,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Sales/Revenue/Turnover,76366,76882,76354,69875,71449,72854,74286,74291,71887,75305
+ Sales & Services Revenue,76366,76882,76354,69875,71449,72854,74286,74291,71887,75305
- Cost of Revenue,0,0,0,0,0,0,0,0,0,0
+ Cost of Goods & Services,0,0,0,0,0,0,0,0,0,0
Gross Profit,0,0,0,0,0,0,0,0,0,0
+ Other Operating Income,0,0,0,0,0,0,0,0,0,0
- Operating Expenses,0,0,0,0,0,0,0,0,0,0
"+ Selling, General & Admin",26725,26604,24047,22806,22898,22800,23022,23544,26740,28305
+ Research & Development,0,0,0,0,0,0,0,0,0,0
+ Other Operating Expense,-26725,-26604,-24047,-22806,-22898,-22800,-23022,-23544,-26740,-28305
Operating Income (Loss),0,0,0,0,0,0,0,0,0,0
- Non-Operating (Income) Loss,-19857,-14364,-24826,-21477,-22761,-23445,-23901,-14022,-27469,-18807
"+ Interest Expense, Net",-77578,-73890,-68966,-69180,-76626,-93643,-104892,-71427,-58456,-100148
+ Interest Expense,-15045,-12652,-10803,-11367,-15269,-23084,-28382,-13338,-7981,-25740
- Interest Income,62533,61238,58163,57813,61357,70559,76510,58089,50475,74408
+ Other Non-Op (Income) Loss,57721,59526,44140,47703,53865,70198,80991,57405,30987,81341
Pretax Income,19857,14364,24826,21477,22761,23445,23901,14022,27469,18807
- Income Tax Expense (Benefit),5992,6864,7440,6444,28794,5357,4430,2592,5451,3642
- (Income) Loss from Affiliates,0,0,0,0,0,0,0,0,0,0
Income (Loss) from Cont Ops,13865,7500,17386,15033,-6033,18088,19471,11430,22018,15165
- Net Extraordinary Losses (Gains),184,372,234,184,231,78,136,100,139,409
+ Discontinued Operations,270,-2,-54,-58,-111,-8,-4,-20,7,-231
+ Extraord. & Accounting Changes,-86,374,288,242,342,86,140,120,132,640
Income (Loss) Incl. MI,13681,7128,17152,14849,-6264,18010,19335,11330,21879,14756
- Minority Interest,-227,-185,-90,-63,-60,-35,-66,-40,-73,-89
"Net Income, GAAP",13908,7313,17242,14912,-6204,18045,19401,11370,21952,14845
- Preferred Dividends,194,511,769,1077,1213,1173,1109,1095,1040,1032
- Other Adjustments,0,0,0,0,0,0,0,0,0,0
"Net Income Avail to Common, GAAP",13714,6802,16473,13835,-7417,16872,18292,10275,20912,13813
Basic Weighted Avg Shares,3036,3032,3004,2888,2699,2493,2249,2086,2033,1947
"Basic EPS, GAAP",4.52,2.24,5.48,4.79,-2.75,6.77,8.13,4.93,10.29,7.10
Basic EPS from Cont Ops,4.57,2.47,5.79,5.21,-2.24,7.25,8.66,5.48,10.83,7.79
Diluted Weighted Avg Shares,3042,3037,3008,2888,2699,2495,2265,2099,2049,1964
"Diluted EPS, GAAP",4.51,2.24,5.48,4.79,-2.75,6.76,8.07,4.90,10.20,7.03
Diluted EPS from Cont Ops,4.56,2.47,5.78,5.20,-2.24,7.25,8.60,5.45,10.74,7.72
EBITDA,3303,3589,3506,3720,3659,3754,3905,3937,3964,4262
EBITDA Margin (%),4.33,4.67,4.59,5.32,5.12,5.15,5.26,5.30,5.51,5.66
EBITA,0,0,0,0,0,0,0,0,0,0
EBIT,0,0,0,0,0,0,0,0,0,0
Gross Margin (%),100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Operating Margin (%),0,0,0,0,0,0,0,0,0,0
Profit Margin (%),18.21,9.51,22.58,21.34,-8.68,24.77,26.12,15.30,30.54,19.71
Sales per Employee,304247,319012,330537,319064,341861,357127,371430,353767,321723,313771
Dividend per Share,0.10,0.21,0.42,0.79,1.41,2.01,2.42,2.57,2.56,2.57
Depreciation Expense,3303,3589,3506,3720,3659,3754,3905,3937,3964,4262
