,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Sales/Revenue/Turnover,17703,15832,11643,7827,7938,9538,11054,11185,11536,12277
+ Sales & Services Revenue,17703,15832,11643,7827,7938,9538,11054,11185,11536,12277
- Cost of Revenue,13980,12524,8552,5485,5587,6885,7985,8006,8697,9012
+ Cost of Goods & Services,13980,12524,8552,5485,5587,6885,7985,8006,8697,9012
Gross Profit,3723,3309,3091,2342,2352,2653,3070,3179,2839,3265
+ Other Operating Income,0,0,0,0,0,0,0,0,0,0
- Operating Expenses,2767,3472,2209,1417,1318,1473,1623,1403,1493,2190
"+ Selling, General & Admin",2767,3472,2209,1417,1318,1473,1623,1403,1493,2190
+ Research & Development,0,0,0,0,0,0,0,0,0,0
+ Other Operating Expense,0,0,0,0,0,0,0,0,0,0
Operating Income (Loss),955,-164,881,925,1034,1180,1447,1776,1346,1075
- Non-Operating (Income) Loss,379,332,298,196,159,356,477,366,313,385
"+ Interest Expense, Net",377,331,297,192,155,385,484,419,378,406
+ Interest Expense,379,332,298,196,159,391,487,420,380,410
- Interest Income,3,1,1,4,4,7,3,2,2,4
+ Other Non-Op (Income) Loss,3,1,1,4,4,-28,-7,-53,-65,-20
Pretax Income,576,-495,584,730,875,823,970,1410,1033,690
- Income Tax Expense (Benefit),298,234,225,255,175,219,201,194,291,219
- (Income) Loss from Affiliates,0,0,0,0,0,0,0,0,0,0
Income (Loss) from Cont Ops,311,-607,496,546,798,680,842,1301,888,683
- Net Extraordinary Losses (Gains),20,-343,1184,-85,-7,2,3,4,0,-1
+ Discontinued Operations,4,367,-1162,102,14,-2,0,0,0,0
+ Extraord. & Accounting Changes,16,-710,2346,-187,-22,4,3,4,0,-1
Income (Loss) Incl. MI,291,-264,-688,631,805,678,838,1297,888,684
- Minority Interest,-12,-12,-11,-9,-3,0,-2,-2,0,0
"Net Income, GAAP",303,-253,-677,639,808,678,840,1299,888,684
- Preferred Dividends,0,0,0,0,0,0,0,0,0,0
- Other Adjustments,0,0,0,0,0,0,0,0,0,0
"Net Income Avail to Common, GAAP",303,-253,-677,639,808,678,840,1299,888,684
Basic Weighted Avg Shares,421,426,434,432,404,444,487,486,480,479
"Basic EPS, GAAP",0.72,-0.59,-1.56,1.48,2.00,1.53,1.72,2.67,1.85,1.43
Basic EPS from Cont Ops,0.74,-1.43,1.14,1.26,1.97,1.53,1.73,2.68,1.85,1.43
Diluted Weighted Avg Shares,428,431,439,436,407,446,489,488,482,481
"Diluted EPS, GAAP",0.71,-0.59,-1.54,1.47,1.98,1.52,1.72,2.66,1.84,1.42
Diluted EPS from Cont Ops,0.73,-1.41,1.13,1.25,1.96,1.53,1.72,2.67,1.84,1.42
EBITDA,1558,429,1255,1193,1291,1513,1836,2164,1721,1445
EBITDA Margin (%),8.80,2.71,10.78,15.24,16.26,15.86,16.61,19.35,14.92,11.77
EBITA,955,-164,881,925,1034,1180,1447,1776,1346,1075
EBIT,955,-164,881,925,1034,1180,1447,1776,1346,1075
Gross Margin (%),21.03,20.90,26.55,29.92,29.62,27.81,27.77,28.42,24.61,26.59
Operating Margin (%),5.40,-1.03,7.57,11.82,13.02,12.37,13.09,15.88,11.67,8.76
Profit Margin (%),1.71,-1.60,-5.81,8.17,10.18,7.11,7.60,11.61,7.70,5.57
Sales per Employee,539713,481228,557077,621183,640185,529911,669964,601328,640883,660054
Dividend per Share,1.00,1.00,1.00,0.96,0.85,0.80,0.85,0.98,1.21,1.30
Depreciation Expense,603,592,374,268,257,333,389,388,375,370
