,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
+ Net Income,335,1163,1212,1431,1294,259,1365,-3693,612,-932
+ Depreciation & Amortization,397,459,451,641,717,1032,1000,913,783,692
+ Non-Cash Items,1004,147,425,276,467,607,-398,-1321,745,2238
+ Stock-Based Compensation,93,96,110,111,96,85,82,90,89,81
+ Deferred Income Taxes,21,26,219,87,291,-1012,-83,-961,496,7
+ Asset Impairment Charge,859,15,-19,21,18,1423,-485,7,79,2074
+ Other Non-Cash Adj,31,10,115,57,62,111,88,-457,81,76
+ Chg in Non-Cash Work Cap,-9,755,452,623,-1294,870,755,6061,289,1124
+ (Inc) Dec in Accts Receiv,216,925,-870,-866,-665,-871,-751,82,-904,-1526
+ (Inc) Dec in Inventories,-370,142,-779,-1179,-673,-1211,-551,-409,-1584,-1071
+ (Inc) Dec in Prepaid Assets,0,0,0,0,0,0,0,0,0,0
+ Inc (Dec) in Accts Payable,145,-312,2101,2668,44,2952,2057,6388,2777,3721
+ Inc (Dec) in Other,0,0,0,0,0,0,0,0,0,0
+ Net Cash From Disc Ops,0,0,0,0,0,0,0,0,0,0
Cash from Operating Activities,1727,2524,2540,2971,1184,2768,2722,1960,2429,3122
+ Change in Fixed & Intang,0,0,0,0,0,0,0,0,0,0
+ Disp in Fixed & Intang,0,0,53,13,3,862,763,2,0,31
+ Disp of Fixed Prod Assets,0,0,53,13,3,862,763,2,0,31
+ Disp of Intangible Assets,0,0,0,0,0,0,0,0,0,0
+ Acq of Fixed & Intang,-195,-249,-300,-465,-387,-384,-328,-375,-400,-387
+ Acq of Fixed Prod Assets,-195,-249,-300,-465,-387,-384,-328,-375,-400,-387
+ Acq of Intangible Assets,0,0,0,0,0,0,0,0,0,0
+ Net Change in LT Investment,59,-82,-99,-14,111,56,-15,866,25,22
+ Dec in LT Investment,71,47,243,186,305,65,3,886,47,100
+ Inc in LT Investment,-12,-129,-342,-200,-194,-9,-18,-20,-22,-78
+ Net Cash From Acq & Div,-2239,-519,-450,-3601,-129,-5280,681,2,-3,901
+ Cash from Divestitures,0,0,53,13,3,862,763,2,0,923
+ Cash for Acq of Subs,-2239,-519,-503,-3614,-132,-6142,-82,0,-3,-22
+ Cash for JVs,0,0,0,0,0,0,0,0,0,0
+ Other Investing Activities,0,0,-53,-13,-3,-862,-763,-2,0,0
+ Net Cash From Disc Ops,0,0,0,0,0,0,0,0,0,0
Cash from Investing Activities,-2375,-850,-849,-4080,-405,-5608,338,493,-378,567
+ Dividends Paid,-353,-415,-460,-512,-577,-581,-577,-569,-573,-559
+ Net Cash From Debt,981,-2,1451,-6,4861,-951,-1102,-1399,-570,-885
+ Cash From Debt,1286,0,2672,0,5171,3,0,0,0,0
+ Repayments of Debt,-305,-2,-1221,-6,-310,-954,-1102,-1399,-570,-885
+ Cash (Repurchase) of Equity,-329,-446,-964,-651,-600,-550,-600,-350,-200,-1000
+ Increase in Capital Stock,121,227,72,0,0,0,0,0,0,0
+ Decrease in Capital Stock,-450,-673,-1036,-651,-600,-550,-600,-350,-200,-1000
+ Other Financing Activities,-24,153,33,30,62,-194,-14,118,26,-19
+ Net Cash From Disc Ops,0,0,0,0,0,0,0,0,0,0
Cash from Financing Activities,275,-710,60,-1139,3746,-2276,-2293,-2200,-1317,-2463
Effect of Foreign Exchange Rates,0,0,0,-12,-2,4,1,-13,11,-25
Net Changes in Cash,-373,964,1751,-2248,4525,-5116,767,253,734,1226
EBITDA,2285,2369,2642,3077,2959,2910,2733,2685,2577,2356
EBITDA Margin (%),2.26,2.60,2.58,2.53,2.28,2.13,1.88,1.76,1.59,1.30
Net Cash Paid for Acquisitions,2239,519,450,3601,129,5280,-681,-2,3,-901
Free Cash Flow,1532,2275,2240,2506,797,2384,2394,1585,2029,2735
Free Cash Flow to Firm,1578,2361,2327,2618,932,0,2623,0,0,0
Free Cash Flow to Equity,2513,2273,3744,2513,5661,2295,2055,188,1459,1881
Free Cash Flow per Basic Share,4.49,6.67,6.75,7.66,2.51,7.62,7.98,5.41,6.95,9.80
Price/Free Cash Flow,8.45,8.60,9.88,7.42,15.94,4.88,4.65,6.52,5.97,4.27
Cash Flow to Net Income,5.17,2.16,2.09,2.08,0.92,10.81,2.00,-0.53,3.98,-3.35
