,2017,2018,2019,2020,2021,2022
Shares Outstanding,873,866,866,868,863,835
Diluted Weighted Avg Shares,873,873,866,880,890,861
Basic Weighted Avg Shares,866,866,866,867,868,843
Revenue per Share,20.57,21.84,21.48,20.15,23.76,24.21
EBITDA per Share,3.01,3.28,2.99,2.55,3.11,3.31
Operating Income per Share,2.58,2.86,2.61,2.16,2.72,2.86
"Basic EPS, GAAP",1.42,3.16,2.44,2.29,1.92,4.19
Basic EPS from Cont Ops,1.46,3.20,2.49,2.32,1.96,4.25
"Diluted EPS, GAAP",1.41,3.13,2.44,2.25,1.87,4.10
Diluted EPS from Cont Ops,1.45,3.17,2.49,2.28,1.91,4.16
Dividend per Share,0,0,0,0.16,0.48,0.60
Cash Flow per Share,2.42,2.37,2.31,1.95,2.58,2.07
Free Cash Flow per Basic Share,2.05,2.07,2.03,1.59,2.18,1.65
Cash & Equivalents per Share,0,1.30,1.10,3.59,3.46,4.22
Book Value per Share,0,17.47,17.73,1.90,3.33,7.04
Tangible Book Value per Share,0,3.70,4.00,-5.30,-3.20,-3.89
