,2017,2018,2019,2020,2021,2022
Return on Common Equity (%),0,36.14,13.88,23.31,73.53,80.79
Return on Assets (%),0,25.16,9.59,8.35,6.49,13.53
Return on Capital (%),0,35.64,13.25,14.56,14.02,25.78
Return on Invested Capital (%),0,24.49,11.96,7.80,9.50,11.63
Gross Margin (%),29.11,29.44,29.12,29.27,29.01,26.76
EBITDA Margin (%),14.65,15.00,13.93,12.64,13.07,13.68
Operating Margin (%),12.56,13.11,12.13,10.71,11.43,11.82
Incremental Operating Margin (%),0,22.09,72.88,33.59,15.43,-29.17
Pretax Margin (%),17.14,20.31,14.36,16.36,11.64,21.02
Profit Margin (%),6.89,14.45,11.37,11.35,8.07,17.31
Net Income to Common Margin (%),6.89,14.45,11.37,11.35,8.07,17.31
Effective Tax Rate (%),58.51,27.93,19.35,29.74,29.13,16.50
Dvd Payout Ratio (%),0,0,0,6.80,23.99,14.01
Sustainable Growth Rate (%),0,36.14,13.88,21.72,55.89,69.47
