,2017,2018,2019,2020,2021,2022
Accounts Receivable Turnover,0,14.84,7.45,6.97,8.29,7.80
Days Sales Outstanding,0,24.60,48.97,52.39,44.00,46.79
Inventory Turnover,0,19.58,9.79,8.34,8.13,6.49
Days Inventory Outstanding,0,18.64,37.29,43.77,44.89,56.25
Accounts Payable Turnover,0,15.13,7.22,6.95,7.01,6.05
Accounts Payable Turnover Days,0,24.12,50.56,52.50,52.04,60.34
Cash Conversion Cycle,0,19.11,35.71,43.66,36.85,42.70
Inventory to Cash Days,0,5.96,11.68,8.62,-0.88,-9.46
Inventories,0,1363,1332,1629,1970,2640
Raw Materials,0,336,290,363,559,884
Work In Process,0,102,120,143,197,230
Finished Goods,0,925,922,1123,1214,1526
Other Inventory,0,0,0,0,0,0
