,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Shares Outstanding,87,84,82,81,113,112,111,107,107,106
Diluted Weighted Avg Shares,87,85,83,81,108,112,112,109,107,107
Basic Weighted Avg Shares,87,85,83,81,107,112,111,109,107,106
Revenue per Share,6.55,7.23,7.64,7.93,20.79,24.77,22.41,31.41,32.66,37.24
EBITDA per Share,3.67,4.14,4.41,4.21,6.06,7.46,6.84,7.94,9.24,10.70
Operating Income per Share,3.27,3.67,3.85,3.66,4.27,5.63,5.26,6.48,7.68,9.13
"Basic EPS, GAAP",2.02,2.22,2.47,2.30,3.75,3.81,3.37,4.29,4.94,2.21
Basic EPS from Cont Ops,2.02,2.22,2.47,2.28,3.74,3.80,3.33,4.29,4.94,2.21
"Diluted EPS, GAAP",2.02,2.22,2.47,2.30,3.74,3.80,3.35,4.28,4.93,2.20
Diluted EPS from Cont Ops,2.02,2.22,2.47,2.28,3.73,3.79,3.32,4.28,4.93,2.20
Dividend per Share,0.67,1.30,0.88,0.96,1.10,1.17,1.35,1.56,1.81,1.97
Cash Flow per Share,2.57,3.08,2.95,2.82,3.49,4.78,5.68,13.37,5.58,6.13
Free Cash Flow per Basic Share,2.24,2.49,2.48,2.27,3.14,4.46,5.37,12.94,5.10,5.56
Cash & Equivalents per Share,2.55,1.76,1.25,1.20,1.69,2.78,2.71,3.15,3.55,4.95
Book Value per Share,4.04,5.62,7.36,8.76,8.82,11.55,13.68,16.88,20.13,20.50
Tangible Book Value per Share,2.75,2.31,3.07,3.48,-13.30,-10.49,-8.28,-11.88,-10.21,-12.46
