,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Return on Common Equity (%),35.11,37.21,30.10,24.07,23.00,27.05,24.89,12.20,24.65,16.36
Return on Assets (%),4.28,6.60,5.85,5.25,6.21,8.53,8.65,4.39,9.16,6.61
Return on Capital (%),8.88,13.94,11.55,10.03,11.96,16.33,15.49,7.82,15.54,10.95
Return on Invested Capital (%),8.95,10.63,8.76,7.45,9.08,10.96,13.77,7.08,9.62,8.80
Gross Margin (%),41.69,38.00,34.75,30.20,30.38,22.92,21.78,20.06,22.22,21.37
EBITDA Margin (%),12.41,11.05,10.49,8.87,10.26,7.15,7.40,6.18,7.54,6.29
Operating Margin (%),9.75,8.12,7.60,6.06,7.40,5.03,5.57,4.07,5.65,4.30
Incremental Operating Margin (%),15.16,1.82,5.02,-1.50,22.82,0.30,10.05,529.05,15.20,-7.80
Pretax Margin (%),7.08,8.59,8.10,6.74,8.19,6.46,5.70,4.07,8.68,5.38
Profit Margin (%),4.41,5.35,5.04,4.38,4.87,4.98,5.37,3.16,6.62,4.57
Net Income to Common Margin (%),4.41,5.35,5.04,4.38,4.87,4.98,5.37,3.16,6.62,4.57
Effective Tax Rate (%),36.78,33.93,36.47,33.68,40.04,22.70,5.13,22.07,23.55,14.13
Dvd Payout Ratio (%),0,0,0,0,0,0,0,0,0,0
Sustainable Growth Rate (%),35.11,37.21,30.10,24.07,23.00,27.05,24.89,12.20,24.65,16.36
