,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Accounts Receivable Turnover,5.23,5.62,5.16,5.15,4.89,6.21,5.87,5.38,5.81,5.88
Days Sales Outstanding,69.83,64.99,70.74,70.89,74.66,58.80,62.14,67.88,62.79,62.02
Inventory Turnover,16.12,65.04,310.63,0,0,0,0,0,0,0
Days Inventory Outstanding,22.64,5.61,1.18,0,0,0,0,0,0,0
Accounts Payable Turnover,5.60,6.72,6.09,6.23,6.34,9.15,8.58,7.43,7.69,8.09
Accounts Payable Turnover Days,65.23,54.29,59.95,58.62,57.57,39.88,42.54,49.14,47.44,45.14
Cash Conversion Cycle,27.25,16.31,11.97,12.27,17.09,18.93,19.60,18.73,15.35,16.89
Inventory to Cash Days,47.19,59.38,69.57,70.89,74.66,58.80,62.14,67.88,62.79,62.02
Inventories,127,46,0,0,0,0,0,0,0,0
Raw Materials,0,0,0,0,0,0,0,0,0,0
Work In Process,0,0,0,0,0,0,0,0,0,0
Finished Goods,127,46,0,0,0,0,0,0,0,0
Other Inventory,0,0,0,0,0,0,0,0,0,0
