,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Market Capitalization,28021,34312,39248,38638,47173,42268,30834,23452,20630,12275
- Cash & Cash Equivalents,462,331,1395,603,395,982,518,9513,8939,4029
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0,0,0,0,0
+ Minority/Non Controlling Interest,0,0,0,0,0,0,0,0,0,0
+ Total Debt,9560,9088,8787,9454,9195,10323,11502,28380,34607,35881
Enterprise Value,37119,43069,46640,47489,55973,51609,41818,42319,46098,44127
Total Capital,28707,28695,29212,31662,32852,35754,38520,44827,41427,36523
Total Debt/Capital (%),33.30,31.67,30.08,29.86,27.99,28.87,29.86,63.31,83.54,98.24
Total Debt / EV,0.26,0.21,0.19,0.20,0.16,0.20,0.28,0.67,0.75,0.81
EV/Sales,2.40,2.71,2.97,2.90,3.20,2.73,2.01,7.57,24.16,3.63
EV/EBITDA,12.57,12.57,11.10,9.87,11.80,9.66,7.69,0,0,0
EV/EBIT,27.19,24.03,18.12,15.46,19.31,15.52,12.76,0,0,0
EV/Cash Flow to Firm,11.77,11.59,9.80,8.87,10.15,8.99,7.37,0,0,0
EV/Free Cash Flow to Firm,7.00,6.84,6.61,5.64,6.62,5.44,3.77,0,42.08,9.04
Diluted Market Cap,28057,34356,39604,39755,47632,43118,31195,16724,20394,11505
Diluted Enterprise Value,37155,43113,46996,48606,56432,52459,42179,35591,46062,43357
EV per Share,47.83,55.43,60.42,65.41,77.96,74.15,61.14,38.94,40.58,35.05
TTM Sales,15456,15884,15714,16389,17510,18881,20825,5594,1908,12169
TTM EBITDA,2953,3427,4200,4809,4744,5342,5436,-4529,-4632,-2103
TTM Operating Income,1365,1792,2574,3071,2898,3325,3276,-6770,-6865,-4378
TTM Cash Flow to Firm,3155,3716,4757,5353,5516,5740,5676,-5407,-2512,-57
TTM Free Cash Flow to Firm,5304,6299,7051,8415,8460,9489,11105,-1787,1095,4883
