,2015,2016,2017,2018,2019,2020,2021,2022
Total Debt,0,1142,1120,670,716,712,1177,1255
ST Debt,0,2,0,7,20,18,20,18
LT Debt,0,1140,1120,664,696,694,1157,1237
Total Debt/EBITDA,0,23.31,11.44,5.95,5.53,11.94,28.02,19.86
Net Debt/EBITDA,0,20.63,10.42,4.02,3.06,8.05,18.22,12.49
Total Debt/EBIT,0,-271.93,28.00,11.95,9.90,91.27,-33.15,-48.64
Net Debt/EBIT,0,-240.64,25.51,8.07,5.47,61.49,-21.55,-30.59
EBITDA to Interest Expense,1.04,0.56,1.12,1.35,3.99,2.37,1.17,2.21
EBITDA-CapEx/Interest Expense,0.65,0.18,0.54,0.87,2.29,-0.01,-0.60,-1.09
EBIT to Interest Expense,0.40,-0.05,0.46,0.67,2.23,0.31,-0.99,-0.90
Interest Expense,88,87,87,83,32,25,36,29
Common Equity/Total Assets,0,-5.02,-5.16,-6.37,-3.75,-3.47,-4.29,-4.69
Long-Term Debt/Equity (%),0,113.31,99.19,41.07,37.00,33.09,51.95,58.65
Long-Term Debt/Capital (%),0,110.89,112.49,197.41,142.82,144.75,133.15,139.98
Long-Term Debt/Total Assets (%),0,18.02,16.64,12.64,11.44,10.36,16.15,15.63
Total Debt/Equity (%),0,113.54,99.19,41.49,38.04,33.93,52.83,59.49
Total Debt/Capital (%),0,111.11,112.49,199.43,146.84,148.44,135.41,141.99
Total Debt/Total Assets (%),0,18.05,16.64,12.77,11.77,10.62,16.42,15.85
Net Debt to Equity,0,100.48,90.36,28.01,21.03,22.86,34.35,37.42
Net Debt/Capital (%),0,112.74,113.87,382.50,191.86,164.58,152.58,174.66
EBITDA,91,49,98,113,129,60,42,63
EBITDA-CapEx,57,16,47,73,74,0,-22,-31
Operating Income (Loss),35,-4,40,56,72,8,-35,-26
