,2015,2016,2017,2018,2019,2020,2021,2022
Accounts Receivable Turnover,0,15.96,9.38,10.25,11.53,9.28,8.28,7.64
Days Sales Outstanding,0,22.86,38.90,35.60,31.67,39.32,44.08,47.80
Inventory Turnover,0,0,0,0,0,0,0,0
Days Inventory Outstanding,0,0,0,0,0,0,0,0
Accounts Payable Turnover,0,17.09,9.62,9.43,10.77,12.21,14.17,14.58
Accounts Payable Turnover Days,0,21.36,37.96,38.70,33.91,29.89,25.76,25.03
Cash Conversion Cycle,0,1.50,0.94,-3.10,-2.24,9.42,18.32,22.77
Inventory to Cash Days,0,22.86,38.90,35.60,31.67,39.32,44.08,47.80
Inventories,0,0,0,0,0,0,0,0
Raw Materials,0,0,0,0,0,0,0,0
Work In Process,0,0,0,0,0,0,0,0
Finished Goods,0,0,0,0,0,0,0,0
Other Inventory,0,0,0,0,0,0,0,0
