,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Price/Earnings,23.66,34.18,24.21,35.33,55.75,34.31,19.34,62.68,73.98,51.32
Price/Earnings Average,23.61,29.50,22.75,33.53,47.46,33.81,17.79,43.55,58.33,50.84
Price/Earnings High,26.99,34.84,26.59,39.23,60.84,37.52,21.30,63.06,75.73,62.28
Price/Earnings Low,20.85,24.23,18.85,25.66,33.65,28.10,11.45,23.82,46.42,42.27
Price/Book Value,3.17,3.67,3.67,3.57,5.43,4.48,5.14,8.26,9.45,6.58
Price/Book Value Average,3.16,3.16,3.45,3.39,4.62,4.42,4.73,5.74,7.45,6.52
Price/Book Value High,3.62,3.74,4.03,3.97,5.93,4.90,5.66,8.31,9.67,7.98
Price/Book Value Low,2.79,2.60,2.86,2.60,3.28,3.67,3.04,3.14,5.93,5.42
Price/Tangible Book Value,10.40,13.34,12.44,-77.90,265.93,30.29,15.44,25.15,33.00,43.10
Price/Tangible Book Value Average,10.38,11.52,11.68,-73.93,226.35,29.85,14.21,17.47,26.02,42.71
Price/Tangible Book Value High,11.87,13.60,13.66,-86.49,290.22,33.13,17.00,25.30,33.78,52.31
Price/Tangible Book Value Low,9.17,9.46,9.68,-56.59,160.50,24.80,9.14,9.55,20.70,35.50
Price/Sales,2.66,3.44,3.59,3.95,5.86,5.55,8.19,13.80,17.23,12.23
Price/Sales Average,2.66,2.97,3.37,3.75,4.98,5.47,7.53,9.59,13.59,12.12
Price/Sales High,3.04,3.50,3.94,4.39,6.39,6.07,9.01,13.88,17.64,14.85
Price/Sales Low,2.35,2.44,2.80,2.87,3.53,4.54,4.85,5.24,10.81,10.08
Price/Cash Flow,10.57,17.15,16.16,16.13,24.17,19.62,26.21,40.91,46.77,35.08
Price/Cash Flow Average,10.55,14.80,15.18,15.31,20.58,19.33,24.12,28.42,36.87,34.76
Price/Cash Flow High,12.06,17.48,17.74,17.91,26.38,21.45,28.87,41.16,47.87,42.58
Price/Cash Flow Low,9.32,12.16,12.58,11.72,14.59,16.06,15.52,15.54,29.34,28.90
Price/Free Cash Flow,9.99,16.49,15.67,14.73,22.17,18.29,24.41,37.83,44.95,32.34
Price/Free Cash Flow Average,9.97,14.23,14.72,13.98,18.87,18.02,22.47,26.28,35.44,32.04
Price/Free Cash Flow High,11.40,16.81,17.20,16.36,24.19,20.00,26.89,38.06,46.01,39.25
Price/Free Cash Flow Low,8.80,11.69,12.20,10.70,13.38,14.98,14.45,14.37,28.20,26.64
EV/Sales,2.55,3.33,3.64,3.98,6.09,5.64,8.23,13.85,17.19,12.26
EV/Sales Average,2.61,2.90,3.47,3.78,5.19,5.55,7.56,9.55,13.50,12.15
EV/Sales High,3.00,3.45,4.08,4.40,6.65,6.17,9.08,13.93,17.60,14.89
EV/Sales Low,2.29,2.35,2.85,2.92,3.69,4.61,4.81,5.13,10.69,10.09
EV/EBITDA,12.19,15.81,15.20,17.81,26.36,22.90,30.83,46.15,56.52,36.11
EV/EBITDA Average,12.48,13.78,14.46,16.94,22.46,22.57,28.32,31.84,44.39,35.78
EV/EBITDA High,14.37,16.41,17.01,19.72,28.77,25.07,34.01,46.43,57.88,43.86
EV/EBITDA Low,10.94,11.19,11.87,13.10,15.95,18.73,18.01,17.09,35.16,29.73
EV/EBIT,17.98,24.24,21.39,25.26,35.50,29.58,38.42,56.73,66.02,40.67
EV/EBIT Average,18.41,21.13,20.35,24.03,30.24,29.15,35.30,39.14,51.85,40.29
EV/EBIT High,21.19,25.16,23.94,27.97,38.74,32.37,42.39,57.08,67.60,49.39
EV/EBIT Low,16.14,17.16,16.70,18.58,21.48,24.18,22.45,21.00,41.07,33.48
Last Price,13.99,19.17,21.22,25.22,41.82,43.34,69.99,135.25,188.25,160.64
High Price,15.96,19.54,23.30,28.00,45.64,47.40,77.08,136.06,192.70,194.97
Low Price,12.33,13.59,16.52,18.32,25.24,35.49,41.43,51.39,118.11,132.32
Enterprise Value,3723,5258,6203,7221,11833,12048,19228,37145,51365,43668
Enterprise Value Average,3811,4583,5900,6868,10082,11872,17666,25628,40343,43264
Enterprise Value High,4387,5457,6941,7995,12915,13185,21212,37371,52597,53029
Enterprise Value Low,3341,3722,4843,5310,7161,9850,11235,13753,31951,35946
