,2018,2019,2020,2021,2022
Total Debt,0,8294,7212,8196,5768
ST Debt,0,3502,1322,3302,1302
LT Debt,0,4792,5890,4894,4466
Total Debt/EBITDA,0,1.90,1.86,1.94,1.97
Net Debt/EBITDA,0,1.83,1.80,1.82,1.83
Total Debt/EBIT,0,6.40,29.44,-25.53,11.68
Net Debt/EBIT,0,6.17,28.51,-23.96,10.82
EBITDA to Interest Expense,10.05,10.16,10.87,14.21,11.64
EBITDA-CapEx/Interest Expense,4.86,5.86,5.98,9.73,4.91
EBIT to Interest Expense,2.15,3.02,0.69,-1.08,1.97
Interest Expense,432,429,357,297,251
Common Equity/Total Assets,0,8.06,5.83,1.60,27.24
Long-Term Debt/Equity (%),0,30.27,40.13,42.14,39.27
Long-Term Debt/Capital (%),0,32.84,47.91,52.29,23.63
Long-Term Debt/Total Assets (%),0,9.78,12.25,10.18,9.52
Total Debt/Equity (%),0,52.39,49.14,70.57,50.72
Total Debt/Capital (%),0,56.85,58.66,87.57,30.52
Total Debt/Total Assets (%),0,16.93,15.00,17.04,12.30
Net Debt to Equity,0,50.48,47.60,66.23,47.01
Net Debt/Capital (%),0,55.93,57.89,86.87,28.93
EBITDA,4342,4359,3881,4219,2921
EBITDA-CapEx,2100,2514,2134,2890,1232
Operating Income (Loss),927,1296,245,-321,494
