,2018,2019,2020,2021,2022
Price/Earnings,0,0,0,0,0
Price/Earnings Average,0,0,0,0,-141.38
Price/Earnings High,0,0,0,0,-200.06
Price/Earnings Low,0,0,0,0,-77.66
Price/Book Value,0,0,0,0,2.21
Price/Book Value Average,0,0,0,0,1.77
Price/Book Value High,0,0,0,0,2.51
Price/Book Value Low,0,0,0,0,0.97
Price/Tangible Book Value,0,0,0,0,2.48
Price/Tangible Book Value Average,0,0,0,0,1.99
Price/Tangible Book Value High,0,0,0,0,2.81
Price/Tangible Book Value Low,0,0,0,0,1.09
Price/Sales,0,0,0,0,1.15
Price/Sales Average,0,0,0,0,0.93
Price/Sales High,0,0,0,0,1.31
Price/Sales Low,0,0,0,0,0.51
Price/Cash Flow,0,0,0,0,-11.98
Price/Cash Flow Average,0,0,0,0,-9.61
Price/Cash Flow High,0,0,0,0,-13.60
Price/Cash Flow Low,0,0,0,0,-5.28
Price/Free Cash Flow,0,0,0,0,-42.46
Price/Free Cash Flow Average,0,0,0,0,-34.07
Price/Free Cash Flow High,0,0,0,0,-48.21
Price/Free Cash Flow Low,0,0,0,0,-18.71
EV/Sales,0,0.55,0.53,0.41,1.39
EV/Sales Average,0,0.55,0.53,0.41,1.16
EV/Sales High,0,0.55,0.53,0.41,1.54
EV/Sales Low,0,0.55,0.53,0.41,0.74
EV/EBITDA,0,2.37,2.39,1.92,11.60
EV/EBITDA Average,0,2.37,2.39,1.92,9.70
EV/EBITDA High,0,2.37,2.39,1.92,12.91
EV/EBITDA Low,0,2.37,2.39,1.92,6.21
EV/EBIT,0,7.98,37.81,0,68.60
EV/EBIT Average,0,7.98,37.81,-25.19,57.33
EV/EBIT High,0,7.98,37.81,-25.19,76.34
EV/EBIT Low,0,7.98,37.81,-25.19,36.69
Last Price,0,0,0,0,86.21
High Price,0,0,0,0,97.89
Low Price,0,0,0,0,38.00
Enterprise Value,0,10337,9263,8087,33891
Enterprise Value Average,0,10337,9263,8087,28320
Enterprise Value High,0,10337,9263,8087,37710
Enterprise Value Low,0,10337,9263,8087,18126
