,2018,2019,2020,2021,2022
Shares Outstanding,326,326,326,326,327
Diluted Weighted Avg Shares,326,326,326,326,327
Basic Weighted Avg Shares,326,326,326,326,327
Revenue per Share,62.63,58.00,53.95,60.27,74.74
EBITDA per Share,13.31,13.36,11.89,12.94,8.93
Operating Income per Share,2.84,3.97,0.75,-0.98,1.51
"Basic EPS, GAAP",1.13,3.45,1.81,-0.63,-0.49
Basic EPS from Cont Ops,1.36,3.73,1.77,-0.25,-0.51
"Diluted EPS, GAAP",1.13,3.45,1.81,-0.63,-0.49
Diluted EPS from Cont Ops,1.36,3.73,1.77,-0.25,-0.51
Dividend per Share,3.07,2.76,5.31,5.62,0.57
Cash Flow per Share,11.83,8.80,1.79,-4.10,-7.20
Free Cash Flow per Basic Share,4.96,3.15,-3.56,-8.18,-12.36
Cash & Equivalents per Share,0,0.93,0.69,1.55,1.29
Book Value per Share,0,12.12,8.60,2.36,39.08
Tangible Book Value per Share,0,48.41,44.87,35.63,34.78
