,2018,2019,2020,2021,2022
Accounts Receivable Turnover,0,13.08,8.40,13.25,11.49
Days Sales Outstanding,0,27.90,43.45,27.56,31.77
Inventory Turnover,0,24.68,11.93,13.38,15.97
Days Inventory Outstanding,0,14.79,30.59,27.28,22.85
Accounts Payable Turnover,0,19.90,9.98,11.16,9.82
Accounts Payable Turnover Days,0,18.34,36.56,32.71,37.16
Cash Conversion Cycle,0,24.35,37.49,22.13,17.46
Inventory to Cash Days,0,13.11,12.86,0.28,8.91
Inventories,0,1262,1211,1288,1505
Raw Materials,0,1262,1211,1288,1505
Work In Process,0,0,0,0,0
Finished Goods,0,0,0,0,0
Other Inventory,0,0,0,0,0
