,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
+ Net Income,-169,-183,-271,3745,10115,1506,1992,3676,5320,5849
+ Depreciation & Amortization,1854,2102,2125,6907,10588,10318,9926,9704,9345,8903
+ Non-Cash Items,349,342,184,-3591,-9190,186,835,989,1414,569
+ Stock-Based Compensation,48,55,78,492,310,290,315,351,430,470
+ Deferred Income Taxes,112,233,-65,-2958,-9116,110,320,465,826,87
+ Asset Impairment Charge,0,0,0,0,0,0,0,0,0,0
+ Other Non-Cash Adj,189,54,171,-1125,-384,-214,200,173,158,12
+ Chg in Non-Cash Work Cap,124,98,321,980,441,-243,-1005,193,160,-396
+ (Inc) Dec in Accts Receiv,10,-51,5,-160,-84,-98,-505,26,-35,-342
+ (Inc) Dec in Inventories,0,0,0,0,0,0,0,0,0,0
+ (Inc) Dec in Prepaid Assets,0,-9,-3,111,76,-270,-397,-124,-167,-202
+ Inc (Dec) in Accts Payable,114,158,319,1029,449,125,-103,291,362,148
+ Inc (Dec) in Other,0,0,0,0,0,0,0,0,0,0
+ Net Cash From Disc Ops,0,0,0,0,0,0,0,0,0,0
Cash from Operating Activities,2158,2359,2359,8041,11954,11767,11748,14562,16239,14925
+ Change in Fixed & Intang,0,0,0,0,0,0,0,0,0,0
+ Disp in Fixed & Intang,0,11,0,0,0,0,0,0,0,0
+ Disp of Fixed Prod Assets,0,11,0,0,0,0,0,0,0,0
+ Disp of Intangible Assets,0,0,0,0,0,0,0,0,0,0
+ Acq of Fixed & Intang,-2501,-2221,-1840,-34135,-8690,-9125,-7195,-7879,-7635,-9376
+ Acq of Fixed Prod Assets,-2501,-2221,-1840,-34135,-8690,-9125,-7195,-7879,-7635,-9376
+ Acq of Intangible Assets,0,0,0,0,0,0,0,0,0,0
+ Net Change in LT Investment,0,0,0,0,0,0,0,0,0,0
+ Dec in LT Investment,0,0,0,0,0,0,0,0,0,0
+ Inc in LT Investment,0,0,0,0,0,0,0,0,0,0
+ Net Cash From Acq & Div,0,0,0,0,0,0,0,0,0,0
+ Cash from Divestitures,0,0,0,0,0,0,0,0,0,0
+ Cash for Acq of Subs,0,0,0,0,0,0,0,0,0,0
+ Cash for JVs,0,0,0,0,0,0,0,0,0,0
+ Other Investing Activities,58,-7094,-15192,22845,592,-611,-136,-278,-119,262
+ Net Cash From Disc Ops,0,0,0,0,0,0,0,0,0,0
Cash from Investing Activities,-2443,-9304,-17032,-11290,-8098,-9736,-7331,-8157,-7754,-9114
+ Dividends Paid,0,0,0,0,0,0,0,0,0,0
+ Net Cash From Debt,262,6826,14719,1823,8769,3393,6376,3782,8960,6332
+ Cash From Debt,6782,8806,26045,12344,25276,14162,19685,15876,21106,25643
+ Repayments of Debt,-6520,-1980,-11326,-10521,-16507,-10769,-13309,-12094,-12146,-19311
+ Cash (Repurchase) of Equity,-15,-19,-38,3438,-11715,-4399,-6873,-11194,-15431,-10277
+ Increase in Capital Stock,0,0,0,5000,0,0,0,23,0,0
+ Decrease in Capital Stock,-15,-19,-38,-1562,-11715,-4399,-6873,-11217,-15431,-10277
+ Other Financing Activities,52,120,-6,-482,-1824,-881,-1136,-1541,-2414,-1822
+ Net Cash From Disc Ops,0,0,0,0,0,0,0,0,0,0
Cash from Financing Activities,299,6927,14675,4779,-4770,-1887,-1633,-8953,-8885,-5767
Effect of Foreign Exchange Rates,0,0,0,0,0,0,0,0,0,0
Net Changes in Cash,14,-18,2,1530,-914,144,2784,-2548,-400,44
EBITDA,2779,3073,3239,10262,14694,15539,16437,18109,19871,20865
EBITDA Margin (%),34.08,33.74,33.21,35.38,35.34,35.61,35.92,37.65,38.45,38.62
Net Cash Paid for Acquisitions,0,0,0,0,0,0,0,0,0,0
Free Cash Flow,-343,138,519,-26094,3264,2642,4553,6683,8604,5549
Free Cash Flow to Firm,0,-3008,0,0,0,5804,7664,9971,11966,9120
Free Cash Flow to Equity,-81,6975,15238,-24271,12033,6035,10929,10465,17564,11881
Free Cash Flow per Basic Share,-3.72,1.41,5.13,-126.34,12.71,11.37,20.74,32.87,46.85,34.36
Price/Free Cash Flow,0,0,0,0,0,0,0,0,0,2.29
Cash Flow to Net Income,-12.77,-12.89,-8.70,2.28,1.21,9.57,7.04,4.52,3.49,2.95
