,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Price/Earnings,0,0,0,0,0,0,0,0,0,10.83
Price/Earnings Average,0,0,0,0,0,0,0,0,0,8.80
Price/Earnings High,0,0,0,0,0,0,0,0,0,26.38
Price/Earnings Low,0,0,0,0,0,0,0,0,0,0.93
Price/Book Value,0,0,0,0,0,0,0,0,0,-3.49
Price/Book Value Average,0,0,0,0,0,0,0,0,0,-2.84
Price/Book Value High,0,0,0,0,0,0,0,0,0,-8.50
Price/Book Value Low,0,0,0,0,0,0,0,0,0,-0.30
Price/Tangible Book Value,0,0,0,0,0,0,0,0,0,-0.59
Price/Tangible Book Value Average,0,0,0,0,0,0,0,0,0,-0.48
Price/Tangible Book Value High,0,0,0,0,0,0,0,0,0,-1.45
Price/Tangible Book Value Low,0,0,0,0,0,0,0,0,0,-0.05
Price/Sales,0,0,0,0,0,0,0,0,0,1.01
Price/Sales Average,0,0,0,0,0,0,0,0,0,0.82
Price/Sales High,0,0,0,0,0,0,0,0,0,2.47
Price/Sales Low,0,0,0,0,0,0,0,0,0,0.09
Price/Cash Flow,0,0,0,0,0,0,0,0,0,3.67
Price/Cash Flow Average,0,0,0,0,0,0,0,0,0,2.98
Price/Cash Flow High,0,0,0,0,0,0,0,0,0,8.93
Price/Cash Flow Low,0,0,0,0,0,0,0,0,0,0.31
Price/Free Cash Flow,0,0,0,0,0,0,0,0,0,2.29
Price/Free Cash Flow Average,0,0,0,0,0,0,0,0,0,1.86
Price/Free Cash Flow High,0,0,0,0,0,0,0,0,0,5.59
Price/Free Cash Flow Low,0,0,0,0,0,0,0,0,0,0.20
EV/Sales,1.74,2.31,3.66,2.43,1.88,1.84,1.84,1.83,1.84,2.82
EV/Sales Average,1.74,2.31,3.66,2.43,1.88,1.84,1.84,1.83,1.84,2.64
EV/Sales High,1.74,2.31,3.66,2.43,1.88,1.84,1.84,1.83,1.84,4.19
EV/Sales Low,1.74,2.31,3.66,2.43,1.88,1.84,1.84,1.83,1.84,1.94
EV/EBITDA,5.10,6.84,11.03,6.86,5.31,5.17,5.12,4.87,4.78,7.29
EV/EBITDA Average,5.10,6.84,11.03,6.86,5.31,5.17,5.12,4.87,4.78,6.83
EV/EBITDA High,5.10,6.84,11.03,6.86,5.31,5.17,5.12,4.87,4.78,10.85
EV/EBITDA Low,5.10,6.84,11.03,6.86,5.31,5.17,5.12,4.87,4.78,5.02
EV/EBIT,15.31,21.65,32.06,21.00,19.01,15.37,12.92,10.50,9.03,12.72
EV/EBIT Average,15.31,21.65,32.06,21.00,19.01,15.37,12.92,10.50,9.03,11.91
EV/EBIT High,15.31,21.65,32.06,21.00,19.01,15.37,12.92,10.50,9.03,18.93
EV/EBIT Low,15.31,21.65,32.06,21.00,19.01,15.37,12.92,10.50,9.03,8.76
Last Price,0,0,0,0,0,0,0,0,0,339.10
High Price,0,0,0,0,0,0,0,0,0,825.62
Low Price,0,0,0,0,0,0,0,0,0,29.10
Enterprise Value,14160,21020,35718,70439,78057,80263,84154,88230,95066,152152
Enterprise Value Average,14160,21020,35718,70439,78057,80263,84154,88230,95066,142415
Enterprise Value High,14160,21020,35718,70439,78057,80263,84154,88230,95066,226420
Enterprise Value Low,14160,21020,35718,70439,78057,80263,84154,88230,95066,104830
