,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cash Ratio,0,0,0,0,0,0,0,0,0,0
Current Ratio,0,0,0,0,0,0,0,0,0,0
Quick Ratio,0,0,0,0,0,0,0,0,0,0
CFO/Avg Current Liab,0,0,0,0,0,0,0,0,0,0
Common Equity/Total Assets,25.34,18.54,21.36,23.47,25.74,9.85,12.95,18.38,21.05,26.32
Long-Term Debt/Equity (%),46.96,46.01,41.44,34.50,37.72,96.23,70.28,58.64,65.97,62.51
Long-Term Debt/Capital (%),26.22,32.04,28.78,25.00,24.31,68.60,55.36,47.99,46.92,40.70
Long-Term Debt/Total Assets (%),9.23,8.95,8.79,8.01,8.42,25.79,20.47,19.01,20.10,19.52
Total Debt/Equity (%),49.14,47.36,42.67,36.50,39.46,103.42,82.43,65.33,71.36,69.17
Total Debt/Capital (%),27.44,32.98,29.64,26.45,25.43,73.73,64.93,53.47,50.75,45.03
Total Debt/Total Assets (%),9.66,9.22,9.05,8.48,8.81,27.72,24.01,21.18,21.74,21.60
CFO/Total Liabilities,1.65,4.43,6.04,8.83,8.52,3.36,8.59,9.85,6.68,8.75
CFO/CapEx,1.36,4.22,5.33,8.73,8.68,7.14,9.03,9.46,6.23,6.68
Altman's Z-Score,1.57,1.36,1.59,1.57,1.78,1.39,2.85,3.07,3.35,4.16
