,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Debt,939,876,856,846,851,866,885,899,897,891
ST Debt,104,49,35,20,24,32,39,54,54,50
LT Debt,835,827,821,826,827,834,846,845,843,841
Total Debt/EBITDA,18.78,17.18,16.46,17.63,15.47,13.75,12.29,8.25,7.60,7.02
Net Debt/EBITDA,10.12,5.59,6.00,1.44,3.53,1.30,1.64,-0.01,-2.05,-2.94
Total Debt/EBIT,0,0,0,0,0,0,0,0,0,0
Net Debt/EBIT,0,0,0,0,0,0,0,0,0,0
EBITDA to Interest Expense,0.93,0.96,0.98,0.91,1.04,1.19,1.36,2.02,2.23,2.40
EBITDA-CapEx/Interest Expense,0.80,0.79,0.79,0.66,0.74,0.81,0.91,1.65,1.94,2.11
EBIT to Interest Expense,0,0,0,0,0,0,0,0,0,0
Interest Expense,54,53,53,53,53,53,53,54,53,53
Common Equity/Total Assets,26.41,26.14,27.31,26.66,38.30,36.57,38.00,38.06,41.49,40.69
Long-Term Debt/Equity (%),13.76,12.58,12.77,11.70,10.03,10.65,8.58,7.83,6.43,7.99
Long-Term Debt/Capital (%),14.90,14.31,13.65,13.15,8.97,9.38,8.03,7.42,6.06,6.47
Long-Term Debt/Total Assets (%),4.73,4.41,4.35,4.05,3.79,3.80,3.33,3.07,2.69,2.83
Total Debt/Equity (%),15.47,13.33,13.32,11.98,10.32,11.06,8.97,8.33,6.84,8.46
Total Debt/Capital (%),16.76,15.16,14.23,13.47,9.23,9.74,8.40,7.90,6.44,6.86
Total Debt/Total Assets (%),5.32,4.67,4.53,4.15,3.90,3.95,3.48,3.26,2.86,3.00
Net Debt to Equity,8.34,4.34,4.85,0.98,2.35,1.05,1.20,-0.01,-1.85,-3.54
Net Debt/Capital (%),9.79,5.49,5.70,1.25,2.27,1.01,1.21,-0.01,-1.89,-3.18
EBITDA,50,51,52,48,55,63,72,109,118,127
EBITDA-CapEx,43,42,42,35,39,43,48,89,103,112
Operating Income (Loss),0,0,0,0,0,0,0,0,0,0
