,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Return on Common Equity (%),11.39,10.98,12.60,11.16,15.15,3.50,22.60,12.08,25.07,-3.87
Return on Assets (%),3.02,2.88,3.37,3.01,4.95,1.31,8.44,4.59,10.00,-1.59
Return on Capital (%),10.16,9.90,11.40,10.24,0,0,21.00,11.49,23.62,0
Return on Invested Capital (%),0,0,0,0,0,0,0,0,0,0
Gross Margin (%),100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
EBITDA Margin (%),1.10,1.03,1.01,0.88,0.96,1.17,0.91,1.45,1.23,1.94
Operating Margin (%),0,0,0,0,0,0,0,0,0,0
Incremental Operating Margin (%),0,0,0,0,0,0,0,0,0,0
Pretax Margin (%),15.76,14.58,17.13,14.90,12.74,4.64,31.20,19.89,38.11,-10.57
Profit Margin (%),11.41,10.62,12.33,10.85,18.23,5.31,25.20,16.14,30.59,-7.41
Net Income to Common Margin (%),11.41,10.62,12.33,10.85,18.23,5.31,25.20,16.14,30.59,-7.41
Effective Tax Rate (%),27.59,27.18,28.04,27.22,0,0,19.22,18.88,19.73,0
Dvd Payout Ratio (%),50.87,52.95,57.73,51.78,38.28,117.07,17.78,30.84,13.41,-87.04
Sustainable Growth Rate (%),5.59,5.16,5.33,5.38,9.35,-0.60,18.58,8.35,21.71,-7.24
