,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Price/Earnings,21.29,23.49,27.02,24.51,21.25,23.85,29.16,31.73,37.18,130.98
Price/Earnings Average,20.42,22.83,24.61,23.61,20.74,23.58,22.49,35.62,42.37,123.85
Price/Earnings High,22.47,25.32,27.50,26.08,23.63,26.12,29.40,42.42,51.10,147.82
Price/Earnings Low,18.62,19.33,20.83,20.46,17.84,19.84,19.31,30.15,32.11,103.33
Price/Book Value,6.22,6.46,7.53,6.61,5.86,5.82,7.37,18.87,14.58,27.34
Price/Book Value Average,5.97,6.28,6.86,6.37,5.71,5.75,5.68,21.19,16.61,25.85
Price/Book Value High,6.57,6.96,7.67,7.04,6.51,6.37,7.43,25.24,20.03,30.85
Price/Book Value Low,5.44,5.31,5.81,5.52,4.92,4.84,4.88,17.94,12.59,21.57
Price/Tangible Book Value,-7.58,-8.76,-10.70,-12.49,-9.59,-9.90,-17.57,-11.59,-10.03,-12.39
Price/Tangible Book Value Average,-7.27,-8.52,-9.75,-12.03,-9.36,-9.79,-13.55,-13.01,-11.43,-11.71
Price/Tangible Book Value High,-8.00,-9.45,-10.89,-13.29,-10.66,-10.84,-17.71,-15.49,-13.79,-13.98
Price/Tangible Book Value Low,-6.63,-7.21,-8.25,-10.43,-8.05,-8.23,-11.64,-11.01,-8.66,-9.77
Price/Sales,2.12,2.41,3.04,2.88,2.86,3.15,4.07,3.07,2.42,2.64
Price/Sales Average,2.04,2.34,2.77,2.77,2.79,3.11,3.14,3.45,2.75,2.50
Price/Sales High,2.24,2.60,3.09,3.06,3.18,3.45,4.11,4.10,3.32,2.98
Price/Sales Low,1.86,1.98,2.34,2.40,2.40,2.62,2.70,2.92,2.09,2.08
Price/Cash Flow,15.49,15.59,22.50,19.79,17.95,19.72,17.71,17.65,21.86,0
Price/Cash Flow Average,14.86,15.15,20.50,19.07,17.52,19.50,13.66,19.82,24.90,0
Price/Cash Flow High,16.34,16.80,22.90,21.06,19.96,21.59,17.86,23.61,30.03,0
Price/Cash Flow Low,13.55,12.83,17.35,16.53,15.08,16.40,11.73,16.78,18.87,0
Price/Free Cash Flow,13.36,13.89,18.75,15.95,15.24,16.59,15.43,14.21,16.67,0
Price/Free Cash Flow Average,12.82,13.50,17.08,15.36,14.87,16.40,11.90,15.96,19.00,0
Price/Free Cash Flow High,14.10,14.98,19.08,16.97,16.94,18.17,15.56,19.00,22.91,0
Price/Free Cash Flow Low,11.69,11.43,14.46,13.32,12.79,13.80,10.22,13.51,14.40,0
EV/Sales,2.47,2.70,3.37,3.17,3.21,3.51,4.42,3.41,2.85,3.01
EV/Sales Average,2.38,2.63,3.10,3.07,3.14,3.48,3.49,3.78,3.19,2.87
EV/Sales High,2.58,2.88,3.42,3.36,3.53,3.81,4.45,4.42,3.76,3.35
EV/Sales Low,2.20,2.28,2.67,2.70,2.76,2.99,3.04,3.26,2.52,2.45
EV/EBITDA,12.04,12.96,15.79,14.70,15.10,16.73,20.43,17.08,20.82,26.08
EV/EBITDA Average,11.62,12.64,14.53,14.21,14.78,16.57,16.11,18.92,23.28,24.83
EV/EBITDA High,12.61,13.85,16.05,15.56,16.59,18.14,20.59,22.14,27.42,29.02
EV/EBITDA Low,10.74,10.94,12.54,12.50,12.97,14.25,14.06,16.33,18.41,21.25
EV/EBIT,14.28,15.13,18.24,16.83,17.31,19.41,23.32,19.95,27.04,26.08
EV/EBIT Average,13.78,14.76,16.78,16.27,16.94,19.22,18.39,22.10,30.23,24.83
EV/EBIT High,14.95,16.17,18.53,17.80,19.01,21.04,23.50,25.86,35.61,29.02
EV/EBIT Low,12.75,12.77,14.48,14.31,14.87,16.53,16.04,19.08,23.91,21.25
Last Price,91.70,104.54,135.21,133.22,135.25,153.11,217.58,179.40,139.54,157.91
High Price,96.76,112.70,137.62,141.76,150.40,167.70,219.38,239.87,191.75,178.21
Low Price,80.20,86.03,104.26,111.24,113.57,127.34,144.12,170.50,120.50,124.58
Enterprise Value,13795,15254,19409,18964,19662,21816,29709,25055,20278,22244
Enterprise Value Average,13311,14877,17853,18334,19245,21602,23431,27759,22674,21182
Enterprise Value High,14446,16304,19721,20066,21601,23650,29936,32479,26707,24754
Enterprise Value Low,12313,12874,15406,16129,16887,18577,20439,23962,17933,18125
