,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Shares Outstanding,182,179,176,175,173,160,142,139,131,131
Diluted Weighted Avg Shares,187,185,181,177,178,171,151,140,137,133
Basic Weighted Avg Shares,183,179,176,172,174,168,150,139,135,131
Revenue per Share,13.65,14.09,15.56,16.56,18.16,19.81,22.29,20.95,21.98,26.96
EBITDA per Share,0.67,0.69,0.67,0.70,0.69,0.71,0.76,0.78,0.73,0.70
Operating Income per Share,0,0,0,0,0,0,0,0,0,0
"Basic EPS, GAAP",2.96,3.31,2.96,2.77,4.26,7.35,7.99,3.32,8.48,8.61
Basic EPS from Cont Ops,2.96,3.31,2.96,2.77,4.26,7.35,7.99,3.41,8.65,8.78
"Diluted EPS, GAAP",2.89,3.20,2.88,2.69,4.17,7.22,7.92,3.29,8.36,8.48
Diluted EPS from Cont Ops,2.89,3.20,2.88,2.69,4.17,7.22,7.92,3.39,8.53,8.65
Dividend per Share,0.67,0.77,0.84,0.88,1.03,1.57,2.68,2.76,2.90,2.87
Cash Flow per Share,4.57,3.57,4.90,2.87,6.32,9.62,7.27,6.68,4.70,4.87
Free Cash Flow per Basic Share,4.01,3.18,4.22,2.31,5.93,9.08,6.69,6.11,4.18,4.24
Cash & Equivalents per Share,87.05,79.80,95.50,103.23,97.65,104.57,129.28,222.52,305.02,194.33
Book Value per Share,40.93,44.05,46.81,48.32,51.72,61.98,75.15,77.35,89.03,94.67
Tangible Book Value per Share,39.24,41.35,39.36,40.80,42.36,42.90,47.08,50.44,52.55,31.70
