,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Shares Outstanding,31,31,31,29,28,28,28,28,28,28
Diluted Weighted Avg Shares,31,32,31,30,29,28,28,28,29,28
Basic Weighted Avg Shares,31,31,31,29,28,28,28,28,28,28
Revenue per Share,103.84,132.36,144.77,133.41,157.12,174.85,201.38,214.37,268.27,310.03
EBITDA per Share,20.53,26.69,29.18,7.00,15.71,18.94,30.42,26.64,38.35,52.72
Operating Income per Share,17.43,23.13,24.98,2.00,9.97,11.68,16.84,11.49,29.30,42.42
"Basic EPS, GAAP",10.58,14.35,15.30,0.78,6.19,6.35,12.62,12.74,23.21,32.28
Basic EPS from Cont Ops,10.58,14.35,15.30,0.78,6.19,6.35,12.62,12.74,23.21,32.28
"Diluted EPS, GAAP",10.47,14.13,15.10,0.77,6.17,6.31,12.38,12.71,22.90,32.04
Diluted EPS from Cont Ops,10.47,14.13,15.10,0.77,6.17,6.31,12.38,12.71,22.90,32.04
Dividend per Share,0,0,0,0,0,0,0,0,0,0
Cash Flow per Share,17.08,21.98,21.98,11.93,16.39,22.34,26.01,23.78,45.57,47.51
Free Cash Flow per Basic Share,10.62,13.84,13.70,3.09,8.79,12.01,13.98,10.41,29.85,30.30
Cash & Equivalents per Share,18.63,24.43,21.68,14.50,18.16,24.44,31.73,33.98,38.33,32.55
Book Value per Share,41.16,55.52,71.88,77.09,85.54,92.93,105.27,117.01,139.94,174.78
Tangible Book Value per Share,48.86,64.15,68.86,47.91,47.90,51.25,59.85,71.36,81.03,84.92
