,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cash Ratio,0.14,0.15,0.20,0.17,0.12,0.10,0.09,0.11,0.25,0.09
Current Ratio,2.08,1.84,1.72,1.66,1.64,1.61,1.57,1.53,1.44,1.84
Quick Ratio,0.96,0.87,0.88,0.91,0.94,0.90,0.85,0.85,0.77,0.93
CFO/Avg Current Liab,0.94,1.10,1.19,1.20,1.18,1.12,1.19,0.84,1.07,0.46
Common Equity/Total Assets,12.70,13.61,15.16,16.82,16.96,18.28,18.60,19.25,25.96,25.97
Long-Term Debt/Equity (%),228.33,235.74,239.35,233.89,234.19,245.76,262.06,250.06,173.54,188.40
Long-Term Debt/Capital (%),72.78,72.90,70.01,66.93,66.77,67.72,67.94,66.09,59.12,58.71
Long-Term Debt/Total Assets (%),45.77,45.55,46.77,46.41,45.50,48.01,49.36,51.22,43.38,45.64
Total Debt/Equity (%),249.30,251.93,263.37,263.82,262.62,268.57,286.19,274.84,178.85,203.13
Total Debt/Capital (%),79.46,77.90,77.04,75.49,74.87,74.00,74.20,72.64,60.93,63.30
Total Debt/Total Assets (%),49.97,48.68,51.47,52.34,51.02,52.47,53.91,56.30,44.71,49.21
CFO/Total Liabilities,10.20,9.35,10.02,9.40,9.18,8.63,8.22,5.41,8.43,3.60
CFO/CapEx,25.38,19.29,18.43,15.22,14.83,11.66,13.56,9.74,13.68,7.99
Altman's Z-Score,0.89,0.95,0.88,0.91,0.93,0.89,0.93,0.86,1.00,0.99
