,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Shares Outstanding,312,313,310,308,301,301,301,302,302,299
Diluted Weighted Avg Shares,317,316,313,311,307,302,302,304,305,302
Basic Weighted Avg Shares,314,314,312,309,305,301,301,302,303,301
Revenue per Share,25.64,26.33,25.90,25.76,25.87,28.85,26.93,28.78,27.97,28.45
EBITDA per Share,4.99,5.01,4.88,4.63,6.47,5.13,5.30,5.51,5.38,5.07
Operating Income per Share,3.69,4.04,3.91,3.63,5.43,3.82,3.82,4.43,4.33,3.95
"Basic EPS, GAAP",1.46,2.61,2.21,1.82,2.91,0.87,0.70,5.39,3.31,2.51
Basic EPS from Cont Ops,2.17,2.31,2.21,1.82,2.91,0.87,1.57,1.96,3.33,2.51
"Diluted EPS, GAAP",1.44,2.59,2.21,1.81,2.89,0.86,0.70,5.36,3.29,2.51
Diluted EPS from Cont Ops,2.15,2.30,2.21,1.81,2.89,0.86,1.57,1.95,3.30,2.51
Dividend per Share,1.17,1.25,1.26,1.26,1.38,1.42,1.41,1.41,1.45,1.50
Cash Flow per Share,3.25,2.86,3.79,4.73,4.23,4.34,4.64,4.62,3.42,3.92
Free Cash Flow per Basic Share,2.18,1.76,2.57,3.63,3.12,2.98,3.37,3.63,2.51,3.12
Cash & Equivalents per Share,1.07,0.74,0.82,0.96,1.06,0.75,0.10,2.84,0.23,0.36
Book Value per Share,5.72,7.06,8.08,6.30,7.96,7.43,6.66,10.60,12.43,13.55
Tangible Book Value per Share,-6.76,-6.41,-7.01,-6.11,-5.28,-24.59,-21.00,-15.78,-13.46,-12.86
