,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Debt,389,303,646,640,633,400,401,518,518,119
ST Debt,92,80,54,76,82,1,1,26,22,22
LT Debt,296,223,592,564,551,399,400,493,496,98
Total Debt/EBITDA,1.14,0.85,1.64,1.40,1.18,0.60,0.50,0.56,0.41,0.08
Net Debt/EBITDA,0.96,0.40,0.48,1.06,0.79,0.19,0.27,-0.09,-0.52,-0.91
Total Debt/EBIT,1.37,1.00,1.88,1.58,1.32,0.68,0.56,0.63,0.46,0.09
Net Debt/EBIT,1.15,0.47,0.55,1.19,0.88,0.21,0.30,-0.10,-0.57,-1.01
EBITDA to Interest Expense,35.28,43.22,22.73,20.59,24.05,34.84,45.60,48.77,62.21,90.70
EBITDA-CapEx/Interest Expense,13.03,31.65,18.15,12.74,16.36,19.28,24.29,16.78,39.34,70.48
EBIT to Interest Expense,29.39,36.73,19.90,18.34,21.48,30.69,40.74,43.25,56.13,82.39
Interest Expense,10,8,17,22,22,19,18,19,20,17
Common Equity/Total Assets,33.03,41.08,34.75,29.77,37.60,50.36,52.53,56.08,62.87,74.53
Long-Term Debt/Equity (%),38.88,22.24,61.40,72.87,50.14,25.22,22.50,19.79,14.04,2.11
Long-Term Debt/Capital (%),35.73,24.21,46.58,49.87,39.95,25.53,23.00,20.06,14.64,2.40
Long-Term Debt/Total Assets (%),22.21,14.81,32.90,34.21,27.79,17.28,15.70,14.26,10.86,1.84
Total Debt/Equity (%),50.99,30.18,66.96,82.70,57.62,25.29,22.56,20.81,14.68,2.58
Total Debt/Capital (%),46.86,32.86,50.80,56.60,45.91,25.60,23.06,21.10,15.30,2.93
Total Debt/Total Assets (%),29.13,20.10,35.88,38.82,31.93,17.33,15.75,15.00,11.36,2.25
Net Debt to Equity,42.64,14.37,19.68,62.58,38.50,7.93,12.08,-3.24,-18.44,-29.88
Net Debt/Capital (%),42.45,18.90,23.28,49.66,36.18,9.74,13.84,-4.08,-27.83,-51.35
EBITDA,340,358,393,456,538,665,802,920,1260,1514
EBITDA-CapEx,125,262,314,282,366,368,427,317,797,1176
Operating Income (Loss),283,304,344,406,481,585,716,816,1136,1375
