,2019,2020,2021,2022
Total Debt,2524,3167,3170,3681
ST Debt,0,0,0,0
LT Debt,2524,3167,3170,3681
Total Debt/EBITDA,4.30,5.48,4.90,4.39
Net Debt/EBITDA,4.26,4.75,3.95,4.38
Total Debt/EBIT,10.08,15.02,14.02,14.09
Net Debt/EBIT,9.99,13.02,11.30,14.05
EBITDA to Interest Expense,7.27,6.32,6.65,7.39
EBITDA-CapEx/Interest Expense,2.22,1.65,2.24,3.43
EBIT to Interest Expense,3.10,2.30,2.32,2.30
Interest Expense,81,92,97,113
Common Equity/Total Assets,-8.64,-10.97,-10.38,-6.22
Long-Term Debt/Equity (%),68.19,90.05,74.31,72.79
Long-Term Debt/Capital (%),125.33,129.34,131.51,116.09
Long-Term Debt/Total Assets (%),37.40,43.99,39.74,39.46
Total Debt/Equity (%),68.19,90.05,74.31,72.79
Total Debt/Capital (%),125.33,129.34,131.51,116.09
Total Debt/Total Assets (%),37.40,43.99,39.74,39.46
Net Debt to Equity,67.56,78.09,59.93,72.58
Net Debt/Capital (%),125.62,135.42,142.26,116.14
EBITDA,587,578,647,838
EBITDA-CapEx,179,151,218,389
Operating Income (Loss),250,211,226,261
