,2019,2020,2021,2022
Cash Ratio,0.08,1.29,1.77,0.03
Current Ratio,0.16,1.36,1.84,0.08
Quick Ratio,0.15,1.35,1.82,0.06
CFO/Avg Current Liab,0,1.64,1.72,1.97
Common Equity/Total Assets,-8.64,-10.97,-10.38,-6.22
Long-Term Debt/Equity (%),68.19,90.05,74.31,72.79
Long-Term Debt/Capital (%),125.33,129.34,131.51,116.09
Long-Term Debt/Total Assets (%),37.40,43.99,39.74,39.46
Total Debt/Equity (%),68.19,90.05,74.31,72.79
Total Debt/Capital (%),125.33,129.34,131.51,116.09
Total Debt/Total Assets (%),37.40,43.99,39.74,39.46
CFO/Total Liabilities,18.24,14.10,15.56,17.44
CFO/CapEx,1.36,1.22,1.35,1.66
Altman's Z-Score,2.14,1.69,3.12,1.78
