,2019,2020,2021,2022
Shares Outstanding,97,97,103,107
Diluted Weighted Avg Shares,99,99,103,108
Basic Weighted Avg Shares,98,99,102,108
Revenue per Share,10.45,10.50,11.21,13.22
EBITDA per Share,5.96,5.82,6.34,7.79
Operating Income per Share,2.54,2.12,2.22,2.43
"Basic EPS, GAAP",2.23,1.25,2.98,6.07
Basic EPS from Cont Ops,2.28,1.29,3.06,6.15
"Diluted EPS, GAAP",2.21,1.25,2.96,6.03
Diluted EPS from Cont Ops,2.26,1.29,3.04,6.10
Dividend per Share,3.22,3.35,3.36,3.69
Cash Flow per Share,5.64,5.23,5.66,6.92
Free Cash Flow per Basic Share,1.50,0.93,1.46,2.74
Cash & Equivalents per Share,0.24,4.32,5.94,0.10
Book Value per Share,-6.00,-8.11,-8.02,-5.45
Tangible Book Value per Share,38.08,36.10,41.30,47.48
