,2019,2020,2021,2022
Return on Common Equity (%),0,0,0,0
Return on Assets (%),0,1.78,4.01,7.55
Return on Capital (%),0,9.38,16.14,27.18
Return on Invested Capital (%),0,3.19,3.15,3.18
Gross Margin (%),61.36,59.48,60.84,62.80
EBITDA Margin (%),57.03,55.38,56.57,58.92
Operating Margin (%),24.34,20.20,19.78,18.37
Incremental Operating Margin (%),0,-256.35,15.35,12.58
Pretax Margin (%),21.91,12.51,27.48,46.70
Profit Margin (%),21.35,11.87,26.57,45.94
Net Income to Common Margin (%),21.35,11.87,26.57,45.94
Effective Tax Rate (%),0.48,1.51,0.60,0.45
Dvd Payout Ratio (%),138.59,250.18,106.92,59.28
Sustainable Growth Rate (%),0,0,0,0
