,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Return on Common Equity (%),0,0,0,174.33,54.14,136.32,155.86,80.36,48.65,40.27
Return on Assets (%),6.37,7.18,7.55,6.48,4.37,6.67,5.90,7.15,6.25,6.65
Return on Capital (%),32.44,24.47,20.17,14.84,9.32,17.30,14.86,16.99,13.17,12.34
Return on Invested Capital (%),8.75,9.15,10.25,8.85,5.57,10.12,8.72,8.85,9.96,8.84
Gross Margin (%),33.88,36.42,38.96,38.46,37.81,37.07,36.56,36.72,37.70,36.79
EBITDA Margin (%),21.28,21.12,22.10,21.65,22.54,21.76,20.95,22.83,24.16,24.01
Operating Margin (%),12.99,13.69,15.14,14.12,15.48,14.62,13.40,14.80,16.66,16.37
Incremental Operating Margin (%),-39.90,19.88,43.84,9.74,28.43,10.74,5.57,26.95,25.50,14.02
Pretax Margin (%),11.87,13.69,14.33,13.26,15.99,12.43,11.60,15.29,13.58,15.67
Profit Margin (%),8.82,9.76,10.95,9.20,6.64,9.99,9.61,12.46,11.04,12.23
Net Income to Common Margin (%),8.82,9.76,10.95,9.20,6.64,9.99,9.61,12.46,11.04,12.23
Effective Tax Rate (%),23.79,26.84,22.20,29.98,57.71,19.33,16.45,18.30,17.03,20.93
Dvd Payout Ratio (%),0,0,0,0,0,0,0,0,0,0
Sustainable Growth Rate (%),0,0,0,174.33,54.14,136.32,155.86,80.36,48.65,40.27
