,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Debt,153,385,355,338,0,4,163,1144,1122,1106
ST Debt,24,20,17,32,0,0,30,33,26,36
LT Debt,129,365,338,306,0,4,134,1111,1095,1070
Total Debt/EBITDA,1.40,2.14,3.01,1.42,0,0.01,0.37,2.82,1.96,1.88
Net Debt/EBITDA,-0.94,-0.79,-0.57,-0.96,-5.10,-3.13,-2.41,-6.82,-4.96,-6.76
Total Debt/EBIT,2.21,3.52,9.02,2.02,0,0.01,0.45,3.95,2.59,2.45
Net Debt/EBIT,-1.48,-1.30,-1.69,-1.37,-6.97,-4.02,-2.95,-9.58,-6.57,-8.82
EBITDA to Interest Expense,15.76,17.14,12.53,23.74,26.34,124.14,170.06,-23.35,18.09,0
EBITDA-CapEx/Interest Expense,13.01,14.53,8.80,21.87,23.63,113.67,152.40,-20.57,16.02,0
EBIT to Interest Expense,9.99,10.43,4.19,16.74,19.28,96.67,139.02,-16.63,13.67,0
Interest Expense,7,10,9,10,9,3,3,-17,32,0
Common Equity/Total Assets,5.54,5.50,5.34,8.98,11.17,18.53,24.41,16.89,20.18,21.82
Long-Term Debt/Equity (%),13.91,24.12,21.92,18.53,0,0.13,3.93,20.67,19.18,15.57
Long-Term Debt/Capital (%),57.94,73.07,72.59,57.34,0,0.65,12.11,48.06,42.36,36.39
Long-Term Debt/Total Assets (%),10.27,17.52,16.27,14.03,0,0.12,3.47,16.06,15.09,12.73
Total Debt/Equity (%),16.50,25.44,23.00,20.45,0,0.13,4.80,21.27,19.64,16.09
Total Debt/Capital (%),68.75,77.07,76.18,63.30,0,0.65,14.80,49.47,43.38,37.61
Total Debt/Total Assets (%),12.18,18.48,17.08,15.48,0,0.12,4.24,16.54,15.46,13.16
Net Debt to Equity,-11.08,-9.38,-4.32,-13.84,-45.69,-36.41,-31.44,-51.52,-49.71,-57.91
Net Debt/Capital (%),309.57,516.48,-150.42,698.69,136.05,228.02,-3196.31,191.73,228.71,196.12
EBITDA,109,180,118,238,237,351,445,406,572,589
EBITDA-CapEx,90,152,83,219,213,322,399,358,507,530
Operating Income (Loss),69,109,39,168,174,274,364,289,432,451
