,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Cash Ratio,0.81,0.70,0.26,0.17,0.18,0.09,0.16,0.26,0.06,0.10
Current Ratio,2.87,2.79,1.95,1.73,2.55,1.98,2.61,1.47,1.84,2.39
Quick Ratio,1.62,1.50,0.95,0.86,1.24,0.90,1.15,0.73,0.78,1.04
CFO/Avg Current Liab,1.02,0.93,0.65,0.78,1.01,1.12,1.28,0.97,0.91,1.20
Common Equity/Total Assets,95.25,108.69,127.07,82.64,92.79,101.28,109.51,112.84,128.77,136.07
Long-Term Debt/Equity (%),59.31,67.27,56.98,120.32,84.05,84.51,82.29,48.09,78.99,67.93
Long-Term Debt/Capital (%),23.43,22.20,16.12,31.52,28.20,24.44,23.98,14.77,19.41,18.36
Long-Term Debt/Total Assets (%),29.14,31.01,25.58,40.48,36.44,34.12,34.71,21.53,32.07,30.71
Total Debt/Equity (%),59.33,67.27,70.55,136.07,84.05,94.91,83.62,73.66,89.73,69.06
Total Debt/Capital (%),23.43,22.20,19.95,35.65,28.20,27.45,24.36,22.62,22.05,18.66
Total Debt/Total Assets (%),29.15,31.01,31.67,45.78,36.44,38.32,35.27,32.98,36.43,31.22
CFO/Total Liabilities,26.79,25.68,20.60,16.82,24.46,24.08,29.12,29.91,31.78,34.12
CFO/CapEx,4.18,2.67,1.69,2.79,3.55,3.86,5.61,9.48,6.39,4.83
Altman's Z-Score,6.25,7.30,8.18,6.43,8.40,8.34,8.72,9.70,10.68,12.03
