,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Current Assets,678,688,738,790,1060,1240,1396,2293,2918,2916
"+ Cash, Cash Equivalents & STI",106,74,151,139,307,410,345,953,967,538
+ Cash & Cash Equivalents,106,74,151,132,288,410,345,953,896,449
+ ST Investments,0,0,0,7,19,0,0,0,71,89
+ Accounts & Notes Receiv,358,404,372,415,489,556,716,838,1012,1051
"+ Accounts Receivable, Net",358,404,372,415,489,556,716,838,1012,1051
"+ Notes Receivable, Net",0,0,0,0,0,0,0,0,0,0
"+ Loans Receivable, Net",0,0,0,0,0,0,0,0,0,0
"+ Other Receivable, Net",0,0,0,0,0,0,0,0,0,0
+ Inventories,137,135,133,155,185,209,257,324,563,702
+ Raw Materials,82,97,88,100,119,148,170,246,499,673
+ Work In Process,26,24,26,31,43,42,115,123,151,109
+ Finished Goods,40,40,44,55,57,48,0,0,0,0
+ Inventory Adjustments,-12,-13,-14,-20,-22,-19,-19,-22,-57,-58
+ Other Inventory,0,-12,-11,-11,-12,-11,-8,-23,-30,-22
+ Other ST Assets,77,75,81,82,79,65,77,178,376,625
+ Prepaid Expenses,0,0,0,0,0,0,0,0,0,0
+ ST Derivative & Hedging Assets,0,0,0,0,0,0,0,0,0,0
+ ST Assets Held-for-Sale,0,0,0,0,0,0,0,0,0,0
+ ST Deferred Tax Assets,0,0,0,0,0,0,0,0,0,0
+ Misc ST Assets,0,0,0,0,0,0,0,0,0,0
Total Noncurrent Assets,2379,2403,2408,2301,2395,3291,4788,5484,6194,7591
"+ Property, Plant & Equip, Net",815,873,885,906,996,1271,1537,2002,2608,3220
"+ Property, Plant & Equip",1265,1422,1473,1551,1708,2098,2450,3047,3787,4567
- Accumulated Depreciation,450,549,588,645,712,827,913,1045,1179,1347
+ LT Investments & Receivables,0,0,0,0,0,0,0,5,38,33
+ LT Investments,0,0,0,0,0,0,0,5,38,33
+ LT Receivables,0,0,0,0,0,0,0,0,0,0
+ Other LT Assets,1564,1530,1523,1395,1399,2020,3252,3476,3548,4338
+ Total Intangible Assets,1396,1455,1430,1291,1317,1942,3152,3359,3336,4066
+ Goodwill,1023,1097,1062,997,1044,1397,2221,2471,2519,3006
+ Other Intangible Assets,372,358,369,294,273,545,931,889,817,1060
+ LT Deferred Tax Assets,0,0,0,0,0,0,0,0,0,0
+ LT Derivative & Hedging Assets,0,0,0,0,0,0,0,0,0,0
+ Misc LT Assets,169,75,93,105,81,78,100,117,212,272
Total Assets,3057,3090,3145,3091,3454,4531,6184,7777,9112,10507
+ Payables & Accruals,257,428,375,364,444,505,594,820,1121,1041
+ Accounts Payable,151,148,128,144,163,192,256,321,385,421
+ Accrued Taxes,31,62,56,39,25,26,9,5,30,50
+ Interest & Dividends Payable,0,0,0,0,0,0,0,0,0,0
+ Other Payables & Accruals,76,218,191,181,257,287,330,495,706,570
+ ST Debt,35,25,24,28,25,72,77,73,75,31
+ ST Borrowings,35,25,24,28,25,72,77,73,75,31
+ ST Finance Leases,0,0,0,0,0,0,0,15,16,14
+ Other ST Liabilities,118,0,0,0,0,0,0,0,0,0
+ Deferred Revenue,36,47,39,46,85,101,155,191,305,185
+ Derivatives & Hedging,0,0,0,0,0,0,0,0,0,0
+ Deferred Tax Liabilities,1,1,2,0,0,0,0,0,0,0
+ Misc ST Liabilities,81,-48,-40,-46,-85,-101,-155,-191,-305,-185
Total Current Liabilities,410,453,399,391,469,577,671,893,1196,1072
+ LT Debt,2657,2685,1864,1833,2055,2649,2883,2945,3166,4171
+ LT Borrowings,2657,2685,1864,1833,2055,2649,2883,2945,3166,4171
+ LT Finance Leases,0,0,0,0,0,0,0,0,0,0
+ Other LT Liabilities,400,324,248,231,207,218,949,1039,835,469
+ Accrued Liabilities,219,103,56,41,32,33,74,94,164,202
+ Pension Liabilities,134,155,144,151,130,132,144,135,137,103
+ Deferred Revenue,0,0,0,0,0,0,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0,0,0,0,0,0,0
+ Derivatives & Hedging,0,0,0,0,0,0,0,0,0,0
+ Misc LT Liabilities,47,66,48,39,46,54,731,810,534,164
Total Noncurrent Liabilities,3057,3009,2112,2064,2262,2868,3832,3985,4001,4640
Total Liabilities,3467,3462,2511,2455,2731,3444,4502,4878,5197,5712
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0,607,607,359,0
+ Share Capital & APIC,1027,1032,1975,1978,1993,2285,2759,3820,4207,4651
+ Common Stock,1,1,1,1,1,1,2,2,2,2
