,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Sales/Revenue/Turnover,1800,1828,1831,1848,2075,2463,2518,3094,3998,4828
+ Sales & Services Revenue,1800,1828,1831,1848,2075,2463,2518,3094,3998,4828
- Cost of Revenue,1232,1229,1216,1261,1421,1711,1713,2111,2646,3188
+ Cost of Goods & Services,1232,1229,1216,1261,1421,1711,1713,2111,2646,3188
Gross Profit,569,599,615,588,655,753,805,983,1352,1640
+ Other Operating Income,0,0,0,0,0,0,0,0,0,0
- Operating Expenses,341,335,337,358,403,463,512,578,706,885
"+ Selling, General & Admin",341,335,337,358,403,463,512,578,687,844
+ Research & Development,0,0,0,0,0,0,0,0,0,0
+ Other Operating Expense,0,0,0,0,0,0,0,0,19,41
Operating Income (Loss),228,264,278,230,252,290,293,405,646,755
- Non-Operating (Income) Loss,252,196,166,85,116,138,133,145,-69,150
"+ Interest Expense, Net",203,163,105,89,90,111,111,126,110,123
+ Interest Expense,203,163,105,89,90,111,111,126,110,123
- Interest Income,0,0,0,0,0,0,0,0,0,0
+ Other Non-Op (Income) Loss,49,33,61,-4,26,27,22,19,-179,27
Pretax Income,-24,67,113,145,136,152,160,260,715,605
- Income Tax Expense (Benefit),24,50,-98,34,26,68,23,40,130,86
- (Income) Loss from Affiliates,0,0,0,0,0,0,0,0,0,0
Income (Loss) from Cont Ops,-48,18,210,111,110,84,137,221,585,519
- Net Extraordinary Losses (Gains),-1,1,-4,-1,0,0,5,0,0,0
+ Discontinued Operations,1,-3,0,0,0,0,0,0,0,0
+ Extraord. & Accounting Changes,-3,3,-4,-1,0,0,5,0,0,0
Income (Loss) Incl. MI,-47,17,214,112,110,84,132,221,585,519
- Minority Interest,0,1,2,0,0,0,-5,0,0,0
"Net Income, GAAP",-47,16,212,112,110,84,137,221,585,519
- Preferred Dividends,0,0,0,0,0,0,0,0,0,0
- Other Adjustments,0,0,0,0,0,0,0,0,0,0
"Net Income Avail to Common, GAAP",-47,16,212,112,110,84,137,221,585,519
Basic Weighted Avg Shares,117,117,120,125,125,131,144,150,168,176
"Basic EPS, GAAP",-0.40,0.14,1.77,0.89,0.88,0.64,0.95,1.47,3.48,2.95
Basic EPS from Cont Ops,-0.41,0.15,1.75,0.89,0.88,0.64,0.95,1.47,3.48,2.95
Diluted Weighted Avg Shares,117,117,121,126,127,133,146,152,170,178
"Diluted EPS, GAAP",-0.40,0.14,1.75,0.89,0.87,0.63,0.94,1.45,3.44,2.92
Diluted EPS from Cont Ops,-0.41,0.15,1.73,0.88,0.87,0.63,0.94,1.45,3.44,2.92
EBITDA,380,407,419,370,399,480,522,659,935,1133
EBITDA Margin (%),21.12,22.25,22.88,20.03,19.20,19.49,20.72,21.30,23.39,23.47
EBITA,228,264,278,230,252,290,293,405,646,755
EBIT,228,264,278,230,252,290,293,405,646,755
Gross Margin (%),31.58,32.75,33.61,31.79,31.54,30.55,31.97,31.78,33.82,33.97
Operating Margin (%),12.66,14.43,15.18,12.42,12.14,11.77,11.64,13.10,16.16,15.64
Profit Margin (%),-2.59,0.89,11.59,6.03,5.29,3.39,5.46,7.13,14.63,10.75
Sales per Employee,0,220205,210437,200880,192167,230224,204715,222612,231098,254105
Dividend per Share,0,0,0,0,0,0,0,0.24,0.13,0.02
Depreciation Expense,152,143,141,141,147,190,229,254,289,378
