,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Price/Earnings,0,0,16.63,25.43,40.23,65.75,56.89,48.89,31.35,36.00
Price/Earnings Average,0,0,15.38,30.12,31.40,63.02,43.49,38.54,28.67,39.04
Price/Earnings High,0,0,18.14,38.52,44.09,75.14,57.63,54.73,36.67,48.37
Price/Earnings Low,0,0,10.90,21.18,24.85,52.46,30.68,21.10,20.83,29.28
Price/Book Value,0,0,-3.14,-2.74,-4.63,-6.42,-10.94,-21.95,689.26,35.19
Price/Book Value Average,0,0,-2.90,-3.24,-3.61,-6.15,-8.36,-17.30,630.52,38.16
Price/Book Value High,0,0,-3.42,-4.15,-5.07,-7.33,-11.08,-24.57,806.28,47.28
Price/Book Value Low,0,0,-2.06,-2.28,-2.86,-5.12,-5.90,-9.47,458.01,28.62
Price/Tangible Book Value,0,0,-4.60,-4.33,-7.44,-6.53,-3.80,-10.98,84.59,26.06
Price/Tangible Book Value Average,0,0,-4.25,-5.13,-5.81,-6.26,-2.91,-8.65,77.38,28.27
Price/Tangible Book Value High,0,0,-5.01,-6.56,-8.16,-7.47,-3.85,-12.28,98.95,35.02
Price/Tangible Book Value Low,0,0,-3.01,-3.60,-4.60,-5.21,-2.05,-4.74,56.21,21.20
Price/Sales,0,0,1.93,1.53,2.13,2.23,3.10,3.49,4.59,3.87
Price/Sales Average,0,0,1.78,1.82,1.66,2.14,2.37,2.75,4.20,4.20
Price/Sales High,0,0,2.10,2.32,2.33,2.55,3.14,3.90,5.37,5.20
Price/Sales Low,0,0,1.26,1.28,1.31,1.78,1.67,1.50,3.05,3.15
Price/Cash Flow,0,0,20.54,18.26,14.75,14.68,31.56,24.51,42.35,42.56
Price/Cash Flow Average,0,0,18.99,21.63,11.51,14.07,24.13,19.32,38.74,46.15
Price/Cash Flow High,0,0,22.41,27.66,16.16,16.77,31.97,27.43,49.54,57.19
Price/Cash Flow Low,0,0,13.47,15.20,9.11,11.71,17.02,10.57,28.14,34.61
Price/Free Cash Flow,0,0,11.42,9.70,10.19,10.13,16.99,12.07,16.58,17.19
Price/Free Cash Flow Average,0,0,10.56,11.49,7.96,9.71,12.99,9.51,15.17,18.65
Price/Free Cash Flow High,0,0,12.46,14.69,11.17,11.57,17.21,13.51,19.40,23.10
Price/Free Cash Flow Low,0,0,7.49,8.08,6.30,8.08,9.16,5.21,11.02,13.98
EV/Sales,1.44,1.44,2.95,2.46,2.98,3.21,4.42,4.65,5.31,4.69
EV/Sales Average,1.44,1.44,2.80,2.75,2.53,3.11,3.68,3.85,4.93,5.05
EV/Sales High,1.44,1.44,3.13,3.26,3.20,3.53,4.46,5.10,6.12,6.07
EV/Sales Low,1.44,1.44,2.26,2.21,2.18,2.75,2.97,2.50,3.77,3.98
EV/EBITDA,6.80,6.48,12.89,12.31,15.54,16.46,21.31,21.82,22.72,20.00
EV/EBITDA Average,6.80,6.48,12.23,13.74,13.15,15.97,17.75,18.06,21.10,21.50
EV/EBITDA High,6.80,6.48,13.68,16.27,16.65,18.12,21.51,23.94,26.17,25.85
EV/EBITDA Low,6.80,6.48,9.88,11.05,11.35,14.10,14.34,11.72,16.12,16.95
EV/EBIT,11.34,9.99,19.41,19.85,24.57,27.24,37.94,35.48,32.88,30.02
EV/EBIT Average,11.34,9.99,18.42,22.16,20.80,26.44,31.59,29.36,30.54,32.26
EV/EBIT High,11.34,9.99,20.61,26.23,26.33,29.99,38.28,38.92,37.88,38.79
EV/EBIT Low,11.34,9.99,14.88,17.81,17.94,23.35,25.52,19.05,23.33,25.44
Last Price,0,0,29.44,22.72,35.34,41.89,54.21,71.94,109.15,106.15
High Price,0,0,32.11,34.42,38.73,47.87,54.91,80.52,127.68,142.64
Low Price,0,0,19.30,18.92,21.83,33.42,29.23,31.04,72.53,86.34
Enterprise Value,2586,2636,5397,4555,6192,7900,11119,14383,21243,22665
Enterprise Value Average,2586,2636,5121,5085,5241,7668,9258,11904,19728,24359
Enterprise Value High,2586,2636,5728,6021,6635,8698,11221,15780,24473,29286
Enterprise Value Low,2586,2636,4136,4088,4521,6770,7479,7725,15070,19208
