,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Sales/Revenue/Turnover,8843,10263,12416,13487,14810,16125,16783,16652,18507,19428
+ Sales & Services Revenue,8843,10263,12416,13487,14810,16125,16783,16652,18507,19428
- Cost of Revenue,5265,6141,7440,8108,9152,9838,10634,10671,11604,12448
+ Cost of Goods & Services,5265,6141,7440,8108,9152,9838,10634,10671,11604,12448
Gross Profit,3578,4122,4976,5379,5658,6287,6149,5981,6903,6980
+ Other Operating Income,0,0,0,0,0,0,0,0,0,0
- Operating Expenses,1900,2237,2834,3090,3177,3486,3479,3652,4077,4012
"+ Selling, General & Admin",1728,2037,2509,2731,2769,3026,2972,3100,3503,3443
+ Research & Development,0,0,0,0,0,0,0,0,0,0
+ Other Operating Expense,172,200,325,359,408,460,507,552,574,569
Operating Income (Loss),1678,1885,2142,2289,2481,2801,2670,2329,2826,2968
- Non-Operating (Income) Loss,-10,-39,-22,-68,-174,4,127,233,-1,-48
"+ Interest Expense, Net",-49,-60,-66,-96,-110,-150,-150,-95,-21,-40
+ Interest Expense,0,2,18,19,23,27,26,24,9,19
- Interest Income,49,62,84,115,133,177,176,119,30,59
+ Other Non-Op (Income) Loss,39,21,44,28,-64,154,277,328,20,-8
Pretax Income,1688,1924,2164,2357,2655,2797,2543,2096,2827,3016
- Income Tax Expense (Benefit),459,485,540,805,1153,698,643,704,693,730
- (Income) Loss from Affiliates,0,0,0,0,0,0,0,0,0,0
Income (Loss) from Cont Ops,1229,1439,1624,1553,1504,2101,1842,1392,2137,2290
- Net Extraordinary Losses (Gains),0,0,0,0,0,0,0,0,0,0
+ Discontinued Operations,0,0,0,0,0,0,0,0,0,0
+ Extraord. & Accounting Changes,0,0,0,0,0,0,0,0,0,0
Income (Loss) Incl. MI,1229,1439,1624,1553,1504,2101,1842,1392,2137,2290
- Minority Interest,0,0,0,0,0,0,0,0,0,0
"Net Income, GAAP",1229,1439,1624,1553,1504,2101,1842,1392,2137,2290
- Preferred Dividends,0,0,0,0,0,0,0,0,0,0
- Other Adjustments,0,0,0,0,0,0,0,0,0,0
"Net Income Avail to Common, GAAP",1229,1439,1624,1553,1504,2101,1842,1392,2137,2290
Basic Weighted Avg Shares,604,608,609,607,593,582,559,540,527,518
"Basic EPS, GAAP",2.03,2.37,2.67,2.56,2.54,3.61,3.30,2.58,4.06,4.42
Basic EPS from Cont Ops,2.03,2.37,2.67,2.56,2.54,3.61,3.30,2.58,4.06,4.42
Diluted Weighted Avg Shares,610,612,613,610,595,584,560,541,528,519
"Diluted EPS, GAAP",2.02,2.35,2.65,2.55,2.53,3.60,3.29,2.57,4.05,4.41
Diluted EPS from Cont Ops,2.02,2.35,2.65,2.55,2.53,3.60,3.29,2.57,4.05,4.41
EBITDA,1858,2093,2472,2668,2924,3299,3196,2888,3400,3537
EBITDA Margin (%),21.01,20.39,19.91,19.78,19.74,20.46,19.04,17.34,18.37,18.21
EBITA,1686,1893,2147,2309,2516,2839,2689,2336,2826,2968
EBIT,1678,1885,2142,2289,2481,2801,2670,2329,2826,2968
Gross Margin (%),40.46,40.16,40.08,39.88,38.20,38.99,36.64,35.92,37.30,35.93
Operating Margin (%),18.97,18.37,17.25,16.97,16.75,17.37,15.91,13.99,15.27,15.28
Profit Margin (%),13.89,14.02,13.08,11.51,10.16,13.03,10.98,8.36,11.55,11.79
Sales per Employee,51594,48523,56004,51833,56962,57262,57378,57520,55980,54681
Dividend per Share,0,0,0,0,0.45,0.80,0.81,0.89,0.97,1.09
Depreciation Expense,172,200,325,359,408,460,507,552,574,569
