,2016,2017,2018,2019,2020,2021,2022
Total Debt,0,0,2068,122,1105,1117,1307
ST Debt,0,0,1889,7,3,17,24
LT Debt,0,0,179,115,1102,1100,1283
Total Debt/EBITDA,0,0,0.51,0.06,0.55,0.44,0.41
Net Debt/EBITDA,0,0,-0.01,-0.75,-1.20,-1.31,-0.60
Total Debt/EBIT,0,0,1.60,0.21,1.31,0.85,0.68
Net Debt/EBIT,0,0,-0.05,-2.81,-2.87,-2.54,-0.98
EBITDA to Interest Expense,11.22,6.19,53.68,16.05,44.89,85.33,39.89
EBITDA-CapEx/Interest Expense,11.22,6.19,33.93,7.50,34.33,66.23,32.23
EBIT to Interest Expense,8.77,2.54,16.97,4.29,18.73,43.90,24.41
Interest Expense,101,74,76,136,45,30,79
Common Equity/Total Assets,0,0,0.01,-0.99,0.02,1.25,0.60
Long-Term Debt/Equity (%),0,0,0.75,0.47,4.40,4.29,5.02
Long-Term Debt/Capital (%),0,0,7.65,-230.00,81.57,58.29,71.16
Long-Term Debt/Total Assets (%),0,0,0.42,0.27,2.58,2.60,3.01
Total Debt/Equity (%),0,0,8.68,0.50,4.41,4.36,5.12
Total Debt/Capital (%),0,0,88.41,-244.00,81.79,59.19,72.49
Total Debt/Total Assets (%),0,0,4.82,0.29,2.59,2.64,3.07
Net Debt to Equity,0,0,-0.25,-6.69,-9.66,-13.04,-7.38
Net Debt/Capital (%),0,0,-28.44,90.52,111.31,129.94,135.73
EBITDA,1133,458,4080,2183,2020,2560,3151
EBITDA-CapEx,1133,458,2579,1020,1545,1987,2546
Operating Income (Loss),886,188,1290,584,843,1317,1928
