,2016,2017,2018,2019,2020,2021,2022
Cash Ratio,0,0,0.21,0.21,0.44,0.48,0.31
Current Ratio,0,0,1.38,1.64,1.73,1.63,1.56
Quick Ratio,0,0,0.75,0.89,1.02,0.98,0.84
CFO/Avg Current Liab,0,0,0.10,0.12,0.25,0.30,0.09
Common Equity/Total Assets,0,0,0.01,-0.99,0.02,1.25,0.60
Long-Term Debt/Equity (%),0,0,0.75,0.47,4.40,4.29,5.02
Long-Term Debt/Capital (%),0,0,7.65,-230.00,81.57,58.29,71.16
Long-Term Debt/Total Assets (%),0,0,0.42,0.27,2.58,2.60,3.01
Total Debt/Equity (%),0,0,8.68,0.50,4.41,4.36,5.12
Total Debt/Capital (%),0,0,88.41,-244.00,81.79,59.19,72.49
Total Debt/Total Assets (%),0,0,4.82,0.29,2.59,2.64,3.07
CFO/Total Liabilities,0,0,2.53,6.00,11.74,16.31,5.11
CFO/CapEx,0,0,0.32,0.92,4.35,4.76,1.44
Altman's Z-Score,0,0,1.12,1.76,2.11,2.49,2.82
