,2016,2017,2018,2019,2020,2021,2022
Shares Outstanding,749,749,749,749,743,727,713
Diluted Weighted Avg Shares,749,749,749,750,751,742,725
Basic Weighted Avg Shares,749,749,749,750,749,736,721
Revenue per Share,18.74,19.00,19.06,18.47,18.99,21.27,24.22
EBITDA per Share,1.51,0.61,5.44,2.91,2.70,3.48,4.37
Operating Income per Share,1.18,0.25,1.72,0.78,1.13,1.79,2.67
"Basic EPS, GAAP",0.67,3.38,-6.66,-1.28,0.91,2.39,1.59
Basic EPS from Cont Ops,0.70,3.43,-6.62,-0.36,1.01,2.48,1.69
"Diluted EPS, GAAP",0.67,3.38,-6.66,-1.28,0.91,2.37,1.58
Diluted EPS from Cont Ops,0.70,3.43,-6.62,-0.36,1.01,2.46,1.68
Dividend per Share,0,0,3.74,0.68,0.52,0.54,0.58
Cash Flow per Share,0,0,0.64,1.43,2.76,3.71,1.21
Free Cash Flow per Basic Share,0,0,-1.36,-0.12,2.12,2.93,0.37
Cash & Equivalents per Share,0,0,2.85,2.36,5.10,6.26,4.65
Book Value per Share,0,0,0.01,-0.56,0.01,0.73,0.36
Tangible Book Value per Share,0,0,2.10,3.88,5.44,7.53,8.75
