,2016,2017,2018,2019,2020,2021,2022
Accounts Receivable Turnover,0,0,5.28,2.53,2.72,3.22,3.32
Days Sales Outstanding,0,0,69.09,144.16,134.20,113.51,109.91
Inventory Turnover,0,0,3.25,1.67,1.72,1.83,1.74
Days Inventory Outstanding,0,0,112.44,218.83,212.68,199.17,209.69
Accounts Payable Turnover,0,0,7.28,2.23,2.28,2.46,2.68
Accounts Payable Turnover Days,0,0,50.13,163.46,159.79,148.43,136.43
Cash Conversion Cycle,0,0,131.40,199.53,187.09,164.25,183.17
Inventory to Cash Days,0,0,-43.35,-74.67,-78.49,-85.66,-99.79
Inventories,0,0,5250,5032,4882,5180,6811
Raw Materials,0,0,467,498,485,607,862
Work In Process,0,0,1821,1850,1813,2076,2689
Finished Goods,0,0,3022,2684,2584,2497,3260
Other Inventory,0,0,-60,0,0,0,0
