,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Current Assets,24977,24267,24475,23659,49893,49603,9999,10877,8065,11315
"+ Cash, Cash Equivalents & STI",5940,5654,8577,6607,14394,13616,1540,2544,2011,4964
+ Cash & Cash Equivalents,5940,5654,8577,6607,13438,13482,1540,2544,2011,3662
+ ST Investments,0,0,0,0,956,134,0,0,0,1302
+ Accounts & Notes Receiv,9647,9372,7846,9024,16893,17339,3802,3551,2711,2518
"+ Accounts Receivable, Net",4935,4685,4078,4666,11314,12376,3802,3551,2711,2518
"+ Notes Receivable, Net",0,0,0,0,0,69,53,62,63,0
"+ Loans Receivable, Net",0,0,0,0,0,0,0,0,0,0
"+ Other Receivable, Net",4712,4687,3768,4358,5579,4894,-53,-62,-63,0
+ Inventories,8303,8101,6871,7363,16992,16621,4319,3726,2862,2329
+ Raw Materials,1638,1649,1515,1676,2563,2740,843,653,623,508
+ Work In Process,1948,1905,1506,1510,4512,3969,855,772,533,522
+ Finished Goods,4717,4547,3850,4230,9701,9814,2621,2301,1706,1299
+ Inventory Adjustments,0,0,-8,-53,216,98,0,0,0,0
+ Other Inventory,0,0,8,0,0,0,0,0,0,0
+ Other ST Assets,1087,1140,1181,665,1614,2027,338,1056,481,1504
+ Prepaid Expenses,0,0,0,0,0,0,0,0,0,0
+ ST Derivative & Hedging Assets,0,0,0,0,0,0,0,0,0,0
+ ST Assets Held-for-Sale,0,0,0,0,0,0,0,0,0,0
+ ST Deferred Tax Assets,0,0,0,0,0,0,0,0,0,0
+ Misc ST Assets,0,0,0,0,0,0,0,0,0,0
Total Noncurrent Assets,44524,44529,43551,55852,142271,138427,59397,60027,37642,30085
"+ Property, Plant & Equip, Net",17454,18051,17854,23486,36247,35848,10143,9985,6966,5731
"+ Property, Plant & Equip",55114,55230,50802,57438,73304,75343,15112,15982,11701,10179
- Accumulated Depreciation,37660,37179,32948,33952,37057,39495,4969,5997,4735,4448
+ LT Investments & Receivables,7042,6640,6881,6716,7900,7905,1228,1083,981,733
+ LT Investments,7042,6640,6881,6716,7900,7905,1228,1083,981,733
+ LT Receivables,0,0,0,0,0,0,0,0,0,0
+ Other LT Assets,20028,19838,18816,25650,98124,94674,48026,48959,29695,23621
+ Total Intangible Assets,17112,16400,15771,21298,92801,89997,46744,41388,28020,22158
+ Goodwill,12798,12632,12154,15272,59527,59032,33151,30244,19578,16663
+ Other Intangible Assets,4314,3768,3617,6026,33274,30965,13593,11144,8442,5495
+ LT Deferred Tax Assets,0,0,0,0,0,0,0,0,0,0
+ LT Derivative & Hedging Assets,0,0,0,0,0,0,0,0,0,0
+ Misc LT Assets,2916,3438,3045,4352,5323,4677,1282,7571,1675,1463
Total Assets,69501,68796,68026,79511,192164,188030,69396,70904,45707,41400
+ Payables & Accruals,10698,10543,10120,11697,22113,21913,4516,4554,4087,3287
+ Accounts Payable,4590,4481,3577,4519,9134,9457,2934,2964,2612,2103
+ Accrued Taxes,435,361,452,600,843,857,240,205,278,233
+ Interest & Dividends Payable,0,0,0,0,0,0,0,0,0,0
+ Other Payables & Accruals,5673,5701,6091,6578,12136,11599,1342,1385,1197,951
+ ST Debt,1140,945,995,907,4015,2802,3830,5,150,300
+ ST Borrowings,1140,945,995,907,4015,2802,3830,5,150,300
+ ST Finance Leases,0,0,0,0,0,0,0,1,0,0
+ Other ST Liabilities,133,105,100,0,0,0,0,140,25,261
+ Deferred Revenue,0,0,0,0,0,0,0,0,0,0
+ Derivatives & Hedging,0,0,0,0,0,0,0,0,0,0
+ Deferred Tax Liabilities,133,105,100,0,0,0,0,0,0,0
+ Misc ST Liabilities,0,0,0,0,0,0,0,140,25,261
Total Current Liabilities,11971,11593,11215,12604,26128,24715,8346,4699,4262,3848
+ LT Debt,16820,18838,16215,20456,30056,37662,13617,21806,10632,7774
+ LT Borrowings,16820,18838,16215,20456,30056,37662,13617,21806,10632,7774
+ LT Finance Leases,0,0,0,0,0,0,0,1,2,0
+ Other LT Liabilities,12786,15011,14413,19222,34053,29474,5877,5329,3763,2831
+ Accrued Liabilities,718,622,575,923,6266,5435,3514,2905,1974,1158
+ Pension Liabilities,8176,10459,9119,11375,18581,15909,1172,1348,852,522
+ Deferred Revenue,0,0,0,0,0,0,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0,0,0,0,0,0,0
+ Derivatives & Hedging,0,0,0,0,0,0,0,0,0,0
+ Misc LT Liabilities,3892,3930,4719,6924,9206,8130,1191,1076,937,1151
Total Noncurrent Liabilities,29606,33849,30628,39678,64109,67136,19494,27135,14395,10605
Total Liabilities,41577,45442,41843,52282,90237,91851,27840,31834,18657,14453
+ Preferred Equity and Hybrid Capital,4000,4000,4000,0,0,0,0,0,0,0
+ Share Capital & APIC,6982,7953,8043,7369,81280,81984,50803,50046,49579,48425
+ Common Stock,3054,3107,3107,3107,23,24,7,7,5,5
+ Additional Paid in Capital,3928,4846,4936,4262,81257,81960,50796,50039,49574,48420
- Treasury Stock,307,4233,6155,1659,1000,5421,0,0,0,0
+ Retained Earnings,21407,23045,28425,30338,29211,30536,-8400,-11586,-23187,-21135
+ Other Equity,-4827,-8017,-8667,-9822,-8972,-12394,-1416,44,41,-791
Equity Before Minority Interest,26898,22423,25374,25987,100330,94571,40987,38504,26433,26499
+ Minority/Non Controlling Interest,1026,931,809,1242,1597,1608,569,566,617,448
Total Equity,27924,23354,26183,27229,101927,96179,41556,39070,27050,26947
Total Liabilities & Equity,69501,68796,68026,79511,192164,188030,69396,70904,45707,41400
Shares Outstanding,402,386,372,404,776,756,739,734,512,458
Capital Leases - Total,0,0,0,0,0,0,0,2,2,0
Net Debt,12020,14129,8633,14756,20633,26982,15907,19267,8771,4412
Net Debt to Equity,43.05,60.50,32.97,54.19,20.24,28.05,38.28,49.31,32.43,16.37
Tangible Common Equity Ratio,13,6,12,10,9,6,-23,-8,-5,25
Current Ratio,2.09,2.09,2.18,1.88,1.91,2.01,1.20,2.31,1.89,2.94
Cash Conversion Cycle,59.40,58.23,64.83,63.40,93.34,91.95,-880.13,91.12,98.59,76.71
Number of Employees,53000,53000,49500,56000,98000,98000,35000,34000,28000,23000
