,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Market Capitalization,25502,25301,27375,32878,78637,57074,46005,51615,41010,31441
- Cash & Cash Equivalents,5940,5654,8577,6607,13438,13482,1540,2544,2011,3662
+ Preferred Equity and Hybrid Capital,4000,4000,4000,0,0,0,0,0,0,0
+ Minority/Non Controlling Interest,1026,931,809,1242,1597,1608,569,566,617,448
+ Total Debt,17960,19783,17210,21363,34071,40464,17447,21811,10782,8074
Enterprise Value,42548,44361,40817,48876,99911,85530,62481,71448,50398,34999
Total Capital,47447,50866,53551,56050,64902,72632,9623,10798,-11783,-12608
Total Debt/Capital (%),37.85,38.89,32.14,38.11,52.50,55.71,181.31,201.99,-91.50,-64.04
Total Debt / EV,0.42,0.45,0.42,0.44,0.34,0.47,0.28,0.31,0.21,0.23
EV/Sales,0.75,0.76,0.84,1.01,1.60,0.99,2.90,3.50,4.01,2.69
EV/EBITDA,6.14,5.37,4.82,6.15,11.23,5.74,10.44,15.03,15.14,10.93
EV/EBIT,10.00,8.05,6.86,9.61,20.28,9.53,22.41,43.01,26.95,17.31
EV/Cash Flow to Firm,4.95,6.15,4.94,7.72,9.79,14.68,27.47,14.71,18.53,36.90
EV/Free Cash Flow to Firm,3.90,4.11,4.87,7.37,9.67,14.35,25.20,14.50,9.95,20.69
Diluted Market Cap,27304,25944,30425,30491,53997,58244,46487,51706,43607,34274
Diluted Enterprise Value,44350,45004,43867,46489,76227,86834,62963,71539,52995,39134
EV per Share,105.91,114.97,109.63,121.07,128.79,113.09,84.60,97.31,98.47,76.40
TTM Sales,57080,58167,48778,48158,62484,85977,21512,20397,12566,13017
TTM EBITDA,6935,8261,8475,7947,8895,14890,5983,4755,3328,3202
TTM Operating Income,4254,5514,5954,5085,4926,8972,2788,1661,1870,2022
TTM Cash Flow to Firm,8602,7219,8257,6334,10209,5827,2274,4856,2720,949
TTM Free Cash Flow to Firm,10904,10791,8380,6634,10330,5961,2479,4926,5066,1692
