,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cash Ratio,0.50,0.49,0.76,0.52,0.55,0.55,0.18,0.54,0.47,1.29
Current Ratio,2.09,2.09,2.18,1.88,1.91,2.01,1.20,2.31,1.89,2.94
Quick Ratio,1.30,1.30,1.46,1.24,1.20,1.25,0.64,1.30,1.11,1.94
CFO/Avg Current Liab,0.67,0.55,0.66,0.46,0.45,0.19,0.09,0.63,0.51,0.15
Common Equity/Total Assets,35.20,38.01,46.35,42.06,15.21,16.25,-12.09,-16.33,-50.72,-51.04
Long-Term Debt/Equity (%),60.23,80.66,61.93,75.13,29.49,39.16,32.77,55.81,39.30,28.85
Long-Term Debt/Capital (%),35.45,37.03,30.28,36.50,46.31,51.85,141.50,201.94,-90.23,-61.66
Long-Term Debt/Total Assets (%),24.20,27.38,23.84,25.73,15.64,20.03,19.62,30.75,23.26,18.78
Total Debt/Equity (%),64.32,84.71,65.73,78.46,33.43,42.07,41.98,55.83,39.86,29.96
Total Debt/Capital (%),37.85,38.89,32.14,38.11,52.50,55.71,181.31,201.99,-91.50,-64.04
Total Debt/Total Assets (%),25.84,28.76,25.30,26.87,17.73,21.52,25.14,30.76,23.59,19.50
CFO/Total Liabilities,18.82,14.31,17.96,10.48,9.64,5.15,5.06,12.86,12.23,4.07
CFO/CapEx,3.40,1.82,61.11,18.26,71.86,35.31,6.87,58.50,0.97,0.79
Altman's Z-Score,2.60,2.70,2.77,2.45,2.01,2.29,1.92,1.55,0.80,1.26
