,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cash Ratio,0.23,0.24,0.23,0.25,0.43,0.17,0.18,0.33,0.31,0.17
Current Ratio,2.06,2.17,2.06,2.13,2.12,1.92,2.04,2.24,2.15,1.98
Quick Ratio,1.82,1.97,1.88,1.96,1.95,1.67,1.80,2.03,1.91,1.72
CFO/Avg Current Liab,0.16,0.16,0.18,0.19,0.10,0.08,0.14,0.31,0.30,0.15
Common Equity/Total Assets,38.93,41.87,46.54,47.99,44.97,45.68,47.24,48.66,49.34,52.66
Long-Term Debt/Equity (%),210.15,268.94,352.68,363.03,270.42,240.93,264.45,252.89,178.41,165.03
Long-Term Debt/Capital (%),37.43,38.92,37.34,37.40,37.18,36.66,37.86,39.66,36.58,33.80
Long-Term Debt/Total Assets (%),36.25,39.75,41.13,40.98,39.36,38.85,41.40,43.59,39.10,37.32
Total Debt/Equity (%),335.77,407.68,545.30,545.08,418.25,373.78,396.59,355.36,262.62,254.94
Total Debt/Capital (%),59.80,59.00,57.73,56.16,57.50,56.87,56.78,55.72,53.84,52.21
Total Debt/Total Assets (%),57.92,60.26,63.59,61.53,60.87,60.27,62.09,61.26,57.56,57.65
CFO/Total Liabilities,6.61,6.75,7.31,7.32,3.91,3.10,5.54,12.04,11.76,6.74
CFO/CapEx,1.37,1.33,1.32,1.27,0.85,0.62,0.99,2.82,2.99,1.24
Altman's Z-Score,2.32,2.23,2.02,2.00,2.14,2.28,2.43,2.55,3.00,3.18
