,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Accounts Receivable Turnover,0,0,0,0,0,0,0,0,0,0
Days Sales Outstanding,0,0,0,0,0,0,0,0,0,0
Inventory Turnover,4.88,4.91,4.80,4.80,4.73,4.63,4.39,4.64,4.31,4.21
Days Inventory Outstanding,74.86,74.29,76.01,76.02,77.13,78.91,83.12,78.65,84.69,86.78
Accounts Payable Turnover,9.59,9.97,9.96,10.08,9.31,8.33,7.57,7.29,6.47,7.45
Accounts Payable Turnover Days,38.04,36.60,36.65,36.19,39.22,43.81,48.25,50.07,56.44,48.98
Cash Conversion Cycle,36.82,37.69,39.36,39.82,37.91,35.10,34.87,28.58,28.24,37.81
Inventory to Cash Days,-74.86,-74.29,-76.01,-76.02,-77.13,-78.91,-83.12,-78.65,-84.69,-86.78
Inventories,2553,2783,3074,3259,3609,4097,4677,5247,5614,6761
Raw Materials,0,0,0,0,0,0,0,0,0,0
Work In Process,0,0,0,0,0,0,0,0,0,0
Finished Goods,2553,2783,3074,3259,3609,4097,4677,5247,5614,6761
Other Inventory,0,0,0,0,0,0,0,0,0,0
