,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Sales/Revenue/Turnover,7146,7435,7493,7515,7709,7531,7726,9437,10788,9883
+ Sales & Services Revenue,7146,7435,7493,7515,7709,7531,7726,9437,10788,9883
- Cost of Revenue,4326,4637,4657,4616,4719,4926,5037,5804,6579,6450
+ Cost of Goods & Services,4326,4637,4657,4616,4719,4926,5037,5804,6579,6450
Gross Profit,2820,2798,2836,2899,2990,2605,2689,3633,4209,3433
+ Other Operating Income,0,0,0,0,0,0,0,0,0,0
- Operating Expenses,1819,1815,1771,1740,1825,1500,1458,1662,1828,2005
"+ Selling, General & Admin",1704,1728,1679,1681,1750,1424,1457,1550,1727,1874
+ Research & Development,0,0,0,0,0,0,0,0,0,0
+ Other Operating Expense,115,87,92,59,75,76,1,112,101,131
Operating Income (Loss),1001,983,1065,1159,1165,1105,1231,1971,2381,1428
- Non-Operating (Income) Loss,-347,134,-38,73,135,179,155,87,-218,193
"+ Interest Expense, Net",156,161,152,142,149,165,170,160,150,128
+ Interest Expense,159,164,153,143,151,167,175,163,151,138
- Interest Income,3,3,1,1,2,2,5,3,1,10
+ Other Non-Op (Income) Loss,-503,-27,-190,-69,-14,14,-15,-73,-368,65
Pretax Income,1348,849,1103,1086,1030,926,1076,1884,2599,1235
- Income Tax Expense (Benefit),500,262,373,429,241,182,247,460,597,264
- (Income) Loss from Affiliates,0,0,0,0,0,0,0,0,0,0
Income (Loss) from Cont Ops,848,587,753,696,824,788,886,1499,2080,1015
- Net Extraordinary Losses (Gains),33,67,88,102,104,104,76,136,170,138
+ Discontinued Operations,35,5,0,0,0,0,20,0,0,0
+ Extraord. & Accounting Changes,-2,62,88,102,104,104,56,136,170,138
Income (Loss) Incl. MI,815,520,665,594,720,684,810,1363,1910,877
- Minority Interest,-34,-36,-44,-51,-52,-52,-48,-68,-85,-69
"Net Income, GAAP",849,556,709,645,772,736,858,1431,1995,946
- Preferred Dividends,0,0,0,0,0,0,0,0,0,0
- Other Adjustments,0,0,0,0,0,0,0,0,0,0
"Net Income Avail to Common, GAAP",849,556,709,645,772,736,858,1431,1995,946
Basic Weighted Avg Shares,152,145,144,140,137,136,268,134,125,116
"Basic EPS, GAAP",5.59,3.83,4.92,4.61,5.64,5.41,3.20,10.68,15.96,8.16
Basic EPS from Cont Ops,5.58,4.05,5.23,4.97,6.01,5.79,3.31,11.19,16.64,8.75
Diluted Weighted Avg Shares,153,145,145,142,140,139,272,136,128,118
"Diluted EPS, GAAP",5.55,3.83,4.89,4.54,5.51,5.29,3.15,10.52,15.59,8.02
Diluted EPS from Cont Ops,5.54,4.05,5.19,4.90,5.89,5.67,3.26,11.02,16.25,8.60
EBITDA,1284,1297,1369,1408,1435,1414,1560,2332,2789,1865
EBITDA Margin (%),17.97,17.44,18.27,18.74,18.61,18.78,20.19,24.71,25.85,18.87
EBITA,1001,983,1065,1159,1165,1105,1231,1971,2381,1428
EBIT,1001,983,1065,1159,1165,1105,1231,1971,2381,1428
Gross Margin (%),39.46,37.63,37.85,38.58,38.79,34.59,34.80,38.50,39.02,34.74
Operating Margin (%),14.01,13.22,14.21,15.42,15.11,14.67,15.93,20.89,22.07,14.45
Profit Margin (%),11.88,7.48,9.46,8.58,10.01,9.77,11.11,15.16,18.49,9.57
Sales per Employee,174293,165222,170295,174767,171311,163717,164383,192592,220163,201694
Dividend per Share,1.22,1.29,1.47,1.59,1.80,1.96,1.07,2.22,2.47,2.63
Depreciation Expense,283,314,304,249,270,309,329,361,408,437
