,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Debt,3332,3762,3651,3734,3784,3893,5328,4655,4657,4622
ST Debt,212,518,159,6,36,464,949,143,153,155
LT Debt,3120,3244,3492,3728,3748,3429,4379,4512,4504,4467
Total Debt/EBITDA,2.60,2.90,2.67,2.65,2.64,2.75,3.42,2.00,1.67,2.48
Net Debt/EBITDA,2.45,2.75,2.57,2.40,2.54,2.66,2.29,1.23,1.13,1.97
Total Debt/EBIT,3.33,3.83,3.43,3.22,3.25,3.52,4.33,2.36,1.96,3.24
Net Debt/EBIT,3.14,3.63,3.30,2.91,3.13,3.40,2.91,1.45,1.32,2.57
EBITDA to Interest Expense,8.08,7.91,8.95,9.85,9.50,8.47,8.91,14.31,18.47,13.51
EBITDA-CapEx/Interest Expense,6.62,6.03,7.23,7.80,7.83,6.17,6.63,11.74,15.80,10.59
EBIT to Interest Expense,6.30,5.99,6.96,8.10,7.72,6.62,7.03,12.09,15.77,10.35
Interest Expense,159,164,153,143,151,167,175,163,151,138
Common Equity/Total Assets,59.90,57.96,62.25,65.50,67.98,69.11,63.66,66.34,56.21,64.59
Long-Term Debt/Equity (%),78.53,74.92,73.01,78.70,74.44,64.17,75.98,65.48,68.64,74.36
Long-Term Debt/Capital (%),35.79,34.09,35.09,35.65,33.96,29.50,32.14,32.02,36.25,34.29
Long-Term Debt/Total Assets (%),34.87,32.84,35.05,36.91,35.69,31.16,34.10,32.17,33.09,34.80
Total Debt/Equity (%),83.87,86.88,76.33,78.83,75.15,72.85,92.45,67.55,70.97,76.94
Total Debt/Capital (%),38.22,39.53,36.69,35.70,34.28,33.49,39.10,33.03,37.48,35.48
Total Debt/Total Assets (%),37.24,38.09,36.65,36.97,36.03,35.38,41.49,33.19,34.21,36.01
Net Debt to Equity,79.16,82.45,73.55,71.25,72.43,70.32,62.09,41.46,47.85,61.01
Net Debt/Capital (%),36.87,38.29,35.83,33.42,33.46,32.71,28.78,22.09,27.18,28.83
EBITDA,1284,1297,1369,1408,1435,1414,1560,2332,2789,1865
EBITDA-CapEx,1053,989,1106,1115,1183,1031,1160,1914,2386,1461
Operating Income (Loss),1001,983,1065,1159,1165,1105,1231,1971,2381,1428
