,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cash Ratio,0.17,0.11,0.11,0.37,0.13,0.09,0.60,0.65,0.50,0.20
Current Ratio,1.22,0.94,1.28,1.56,1.24,0.94,1.25,1.72,1.56,1.22
Quick Ratio,0.92,0.66,0.88,1.31,1.00,0.77,1.13,1.51,1.32,0.97
CFO/Avg Current Liab,0.60,0.66,0.56,0.99,1.15,0.94,0.72,1.06,1.27,1.04
Common Equity/Total Assets,59.90,57.96,62.25,65.50,67.98,69.11,63.66,66.34,56.21,64.59
Long-Term Debt/Equity (%),78.53,74.92,73.01,78.70,74.44,64.17,75.98,65.48,68.64,74.36
Long-Term Debt/Capital (%),35.79,34.09,35.09,35.65,33.96,29.50,32.14,32.02,36.25,34.29
Long-Term Debt/Total Assets (%),34.87,32.84,35.05,36.91,35.69,31.16,34.10,32.17,33.09,34.80
Total Debt/Equity (%),83.87,86.88,76.33,78.83,75.15,72.85,92.45,67.55,70.97,76.94
Total Debt/Capital (%),38.22,39.53,36.69,35.70,34.28,33.49,39.10,33.03,37.48,35.48
Total Debt/Total Assets (%),37.24,38.09,36.65,36.97,36.03,35.38,41.49,33.19,34.21,36.01
CFO/Total Liabilities,13.11,16.91,15.64,19.93,21.49,21.21,17.56,28.10,31.68,25.15
CFO/CapEx,2.82,3.05,3.08,3.65,4.66,3.13,3.11,4.80,5.54,4.25
Altman's Z-Score,8.53,7.75,7.72,8.15,8.62,7.89,5.87,6.42,7.44,7.41
