,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Accounts Receivable Turnover,0,0,0,0,0,0,0,0,0,0
Days Sales Outstanding,0,0,0,0,0,0,0,0,0,0
Inventory Turnover,0.94,0.90,1.10,1.18,1.26,1.26,1.27,1.31,1.39,1.20
Days Inventory Outstanding,389.65,404.61,331.56,310.12,290.50,288.98,288.32,279.21,263.37,302.91
Accounts Payable Turnover,20.66,16.80,16.62,18.38,19.74,21.57,23.21,21.28,23.24,22.19
Accounts Payable Turnover Days,17.67,21.72,21.96,19.86,18.49,16.92,15.73,17.15,15.71,16.45
Cash Conversion Cycle,371.98,382.89,309.60,290.26,272.01,272.06,272.60,262.06,247.66,286.46
Inventory to Cash Days,-389.65,-404.61,-331.56,-310.12,-290.50,-288.98,-288.32,-279.21,-263.37,-302.91
Inventories,6197,7701,7807,8341,9237,10395,11282,12237,16479,21656
Raw Materials,0,0,0,0,0,0,0,0,0,0
Work In Process,2498,3541,3501,4035,4606,5086,5245,5984,0,0
Finished Goods,6197,7701,7807,8341,9237,10395,11282,12237,16479,21656
Other Inventory,-2498,-3541,-3501,-4035,-4606,-5086,-5245,-5984,0,0
