,2019,2020,2021,2022
Total Debt,10816,14773,14960,18068
ST Debt,234,532,398,2150
LT Debt,10582,14242,14562,15917
Total Debt/EBITDA,7.51,7.23,6.64,7.98
Net Debt/EBITDA,6.97,6.46,5.90,7.27
Total Debt/EBIT,17.14,21.82,19.50,26.37
Net Debt/EBIT,15.90,19.49,17.35,24.01
EBITDA to Interest Expense,4.08,6.14,7.56,7.57
EBITDA-CapEx/Interest Expense,4.08,6.14,7.56,7.57
EBIT to Interest Expense,1.79,2.03,2.57,2.29
Interest Expense,353,333,298,299
Common Equity/Total Assets,-13.20,-11.07,-9.98,-11.32
Long-Term Debt/Equity (%),99.36,77.03,78.61,81.12
Long-Term Debt/Capital (%),106.07,113.93,115.74,98.60
Long-Term Debt/Total Assets (%),45.87,39.48,40.04,38.37
Total Debt/Equity (%),101.56,79.91,80.76,92.08
Total Debt/Capital (%),108.42,118.19,118.90,111.92
Total Debt/Total Assets (%),46.89,40.95,41.13,43.55
Net Debt to Equity,94.21,71.38,71.83,83.86
Net Debt/Capital (%),101.48,106.50,106.96,102.84
EBITDA,1440,2043,2254,2263
EBITDA-CapEx,1440,2043,2254,2263
Operating Income (Loss),631,677,767,685
