,2019,2020,2021,2022
Cash Ratio,0.06,0.04,0.06,0.03
Current Ratio,0.42,0.25,0.36,0.25
Quick Ratio,0.27,0.25,0.36,0.25
CFO/Avg Current Liab,0,0.79,0.66,0.50
Common Equity/Total Assets,-13.20,-11.07,-9.98,-11.32
Long-Term Debt/Equity (%),99.36,77.03,78.61,81.12
Long-Term Debt/Capital (%),106.07,113.93,115.74,98.60
Long-Term Debt/Total Assets (%),45.87,39.48,40.04,38.37
Total Debt/Equity (%),101.56,79.91,80.76,92.08
Total Debt/Capital (%),108.42,118.19,118.90,111.92
Total Debt/Total Assets (%),46.89,40.95,41.13,43.55
CFO/Total Liabilities,12.19,9.70,9.54,7.59
CFO/CapEx,0,0,0,0
Altman's Z-Score,1.21,1.25,1.70,0.68
