,2019,2020,2021,2022
Shares Outstanding,209,280,284,291
Diluted Weighted Avg Shares,209,263,283,298
Basic Weighted Avg Shares,208,260,282,286
Revenue per Share,15.40,15.01,15.68,16.39
EBITDA per Share,6.91,7.86,7.98,7.90
Operating Income per Share,3.03,2.60,2.72,2.39
"Basic EPS, GAAP",2.42,1.08,5.89,1.18
Basic EPS from Cont Ops,2.88,1.39,6.19,1.33
"Diluted EPS, GAAP",2.41,1.07,5.87,1.13
Diluted EPS from Cont Ops,2.86,1.38,6.17,1.28
Dividend per Share,4.78,4.76,4.88,5.07
Cash Flow per Share,7.27,6.56,6.03,5.80
Free Cash Flow per Basic Share,7.27,6.56,6.03,5.80
Cash & Equivalents per Share,0.43,0.39,0.50,0.49
Book Value per Share,-14.57,-14.25,-12.76,-16.13
Tangible Book Value per Share,17.15,21.55,25.03,22.63
