,2019,2020,2021,2022
Return on Common Equity (%),0,0,0,0
Return on Assets (%),0,1.21,4.72,0.97
Return on Capital (%),0,5.80,15.61,4.54
Return on Invested Capital (%),0,2.24,2.21,1.78
Gross Margin (%),63.23,61.55,60.23,57.34
EBITDA Margin (%),44.88,52.35,50.90,48.24
Operating Margin (%),19.66,17.35,17.32,14.60
Incremental Operating Margin (%),0,6.66,17.16,-31.00
Pretax Margin (%),19.05,10.27,41.11,8.78
Profit Margin (%),18.07,9.13,38.60,8.05
Net Income to Common Margin (%),15.73,7.17,37.57,7.19
Effective Tax Rate (%),1.96,9.49,4.00,7.66
Dvd Payout Ratio (%),169.54,397.49,76.64,412.19
Sustainable Growth Rate (%),0,0,0,0
