,2016,2017,2018,2019,2020,2021,2022
Price/Earnings,0,0,0,0,33.53,6.69,7.93
Price/Earnings Average,0,0,0,-27.52,26.54,7.19,8.80
Price/Earnings High,0,0,0,-33.07,35.17,8.41,11.31
Price/Earnings Low,0,0,0,-22.09,13.27,6.05,6.75
Price/Book Value,0,0,0,2.36,2.52,2.02,1.53
Price/Book Value Average,0,0,0,2.19,1.99,2.18,1.70
Price/Book Value High,0,0,0,2.63,2.64,2.54,2.18
Price/Book Value Low,0,0,0,1.76,1.00,1.83,1.30
Price/Tangible Book Value,0,0,0,26.18,55.34,5.88,3.50
Price/Tangible Book Value Average,0,0,0,24.27,43.80,6.33,3.88
Price/Tangible Book Value High,0,0,0,29.16,58.04,7.40,4.99
Price/Tangible Book Value Low,0,0,0,19.48,21.90,5.32,2.98
Price/Sales,0,0,0,0.94,1.07,0.77,0.64
Price/Sales Average,0,0,0,0.87,0.84,0.83,0.71
Price/Sales High,0,0,0,1.05,1.12,0.97,0.91
Price/Sales Low,0,0,0,0.70,0.42,0.69,0.54
Price/Cash Flow,0,0,0,6.80,6.60,6.02,4.86
Price/Cash Flow Average,0,0,0,6.31,5.22,6.48,5.39
Price/Cash Flow High,0,0,0,7.58,6.92,7.57,6.93
Price/Cash Flow Low,0,0,0,5.06,2.61,5.45,4.14
Price/Free Cash Flow,0,0,0,6.79,6.47,5.43,4.74
Price/Free Cash Flow Average,0,0,0,6.30,5.12,5.84,5.26
Price/Free Cash Flow High,0,0,0,7.57,6.79,6.83,6.76
Price/Free Cash Flow Low,0,0,0,5.06,2.56,4.91,4.04
EV/Sales,0,0.37,0.30,1.34,1.45,1.01,0.86
EV/Sales Average,0,0.37,0.30,1.27,1.22,1.07,0.93
EV/Sales High,0,0.37,0.30,1.45,1.50,1.20,1.12
EV/Sales Low,0,0.37,0.30,1.10,0.80,0.94,0.77
EV/EBITDA,0,2.31,1.68,8.92,10.26,5.17,5.78
EV/EBITDA Average,0,2.31,1.69,8.47,8.68,5.46,6.24
EV/EBITDA High,0,2.31,1.69,9.63,10.64,6.17,7.57
EV/EBITDA Low,0,2.31,1.69,7.33,5.68,4.80,5.15
EV/EBIT,0,3.65,2.41,16.37,21.81,7.03,8.57
EV/EBIT Average,0,3.65,2.43,15.54,18.44,7.43,9.25
EV/EBIT High,0,3.65,2.43,17.68,22.59,8.39,11.22
EV/EBIT Low,0,3.65,2.43,13.45,12.06,6.52,7.65
Last Price,0,0,0,54.34,55.47,56.78,50.39
High Price,0,0,0,60.52,58.18,71.38,71.86
Low Price,0,0,0,40.44,21.95,51.33,42.91
Enterprise Value,0,15995,18268,57614,55735,55467,48868
Enterprise Value Average,0,15999,18368,54688,47141,58596,52758
Enterprise Value High,0,15999,18368,62218,57749,66201,64002
Enterprise Value Low,0,15999,18368,47328,30823,51460,43595
