,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Sales/Revenue/Turnover,1802,1994,2217,2473,2788,3433,3619,4117,4357,4537
+ Sales & Services Revenue,1802,1994,2217,2473,2788,3433,3619,4117,4357,4537
- Cost of Revenue,1253,1399,1533,1705,1922,2130,2216,2523,2669,2889
+ Cost of Goods & Services,1253,1399,1533,1705,1922,2130,2216,2523,2669,2889
Gross Profit,549,595,683,768,866,1303,1402,1594,1688,1649
+ Other Operating Income,0,0,0,0,0,0,0,0,0,0
- Operating Expenses,235,249,278,314,345,731,773,869,908,881
"+ Selling, General & Admin",235,249,278,314,345,731,773,869,908,902
+ Research & Development,0,0,0,0,0,0,0,0,0,0
+ Other Operating Expense,0,0,0,0,0,0,0,0,0,-21
Operating Income (Loss),314,345,405,454,521,572,629,726,780,768
- Non-Operating (Income) Loss,89,87,99,109,121,143,147,171,155,195
"+ Interest Expense, Net",89,87,99,109,120,140,143,169,191,192
+ Interest Expense,89,87,99,109,121,143,147,171,191,195
- Interest Income,0,0,0,1,1,3,4,2,0,3
+ Other Non-Op (Income) Loss,0,0,0,1,1,3,4,2,-36,3
Pretax Income,225,259,306,345,400,429,483,555,626,573
- Income Tax Expense (Benefit),82,96,113,130,122,67,82,64,115,121
- (Income) Loss from Affiliates,0,0,0,0,0,0,0,0,0,0
Income (Loss) from Cont Ops,143,163,193,215,278,362,401,491,510,452
- Net Extraordinary Losses (Gains),0,0,0,0,0,0,0,0,0,0
+ Discontinued Operations,0,0,0,0,0,0,0,0,0,0
+ Extraord. & Accounting Changes,0,0,0,0,0,0,0,0,0,0
Income (Loss) Incl. MI,143,163,193,215,278,362,401,491,510,452
- Minority Interest,0,0,0,0,0,0,0,0,0,0
"Net Income, GAAP",143,163,193,215,278,362,401,491,510,452
- Preferred Dividends,0,0,0,0,0,0,0,0,0,0
- Other Adjustments,0,0,0,0,0,0,0,0,0,0
"Net Income Avail to Common, GAAP",143,163,193,215,278,362,401,491,510,452
Basic Weighted Avg Shares,56,56,50,48,43,41,39,39,36,36
"Basic EPS, GAAP",2.56,2.93,3.87,4.46,6.48,8.83,10.29,12.64,14.13,12.66
Basic EPS from Cont Ops,2.56,2.93,3.87,4.46,6.48,8.83,10.29,12.64,14.13,12.66
Diluted Weighted Avg Shares,58,57,56,50,48,43,42,40,38,36
"Diluted EPS, GAAP",2.48,2.86,3.47,4.30,5.83,8.35,9.56,12.39,13.54,12.53
Diluted EPS from Cont Ops,2.48,2.86,3.47,4.30,5.83,8.35,9.56,12.39,13.54,12.53
EBITDA,340,381,438,492,566,625,689,791,853,848
EBITDA Margin (%),18.84,19.12,19.75,19.91,20.29,18.22,19.05,19.20,19.58,18.69
EBITA,314,345,405,454,521,572,629,726,780,768
EBIT,314,345,405,454,521,572,629,726,780,768
Gross Margin (%),30.46,29.83,30.82,31.05,31.06,37.95,38.76,38.73,38.74,36.34
Operating Margin (%),17.41,17.32,18.29,18.36,18.70,16.65,17.39,17.62,17.91,16.93
Profit Margin (%),7.93,8.15,8.70,8.68,9.97,10.54,11.07,11.93,11.72,9.97
Sales per Employee,180222,181258,186263,175364,197729,236749,276242,285931,322768,412469
Dividend per Share,0.61,0.95,1.61,1.54,1.97,2.25,2.72,3.14,3.86,4.41
Depreciation Expense,26,36,32,38,44,54,60,65,73,80
