,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Debt,1536,1524,2241,2188,3154,3532,4350,4357,5292,5252
ST Debt,24,1,59,39,32,36,77,39,93,90
LT Debt,1512,1524,2181,2149,3121,3496,4274,4318,5199,5163
Total Debt/EBITDA,4.52,4.00,5.12,4.45,5.58,5.65,6.31,5.51,6.20,6.19
Net Debt/EBITDA,4.48,3.92,4.81,4.36,5.51,5.61,5.69,5.00,5.77,5.85
Total Debt/EBIT,4.90,4.41,5.53,4.82,6.05,6.18,6.91,6.00,6.78,6.84
Net Debt/EBIT,4.85,4.32,5.20,4.72,5.98,6.13,6.23,5.44,6.31,6.46
EBITDA to Interest Expense,3.83,4.39,4.41,4.50,4.67,4.37,4.70,4.64,4.46,4.35
EBITDA-CapEx/Interest Expense,3.37,3.59,3.78,3.96,3.93,3.53,4.11,4.12,3.97,3.90
EBIT to Interest Expense,3.54,3.98,4.09,4.15,4.30,4.00,4.29,4.26,4.08,3.94
Interest Expense,89,87,99,109,121,143,147,171,191,195
Common Equity/Total Assets,-245.38,-201.26,-225.50,-262.61,-327.34,-334.59,-246.89,-210.77,-251.68,-261.77
Long-Term Debt/Equity (%),0,0,0,0,0,0,0,0,0,0
Long-Term Debt/Capital (%),610.89,548.54,499.02,700.37,752.52,705.45,455.51,409.74,479.49,487.83
Long-Term Debt/Total Assets (%),287.92,246.02,272.74,300.01,373.05,385.25,309.23,275.55,310.99,322.22
Total Debt/Equity (%),-119.09,-124.98,-124.47,-116.18,-115.30,-116.17,-127.37,-132.01,-125.71,-125.38
Total Debt/Capital (%),620.64,548.74,512.59,713.04,760.31,712.70,463.69,413.42,488.04,496.31
Total Debt/Total Assets (%),292.51,246.11,280.15,305.44,376.91,389.20,314.78,278.02,316.53,327.82
Net Debt to Equity,-117.97,-122.45,-117.06,-113.91,-113.99,-115.34,-114.87,-119.68,-116.93,-118.45
Net Debt/Capital (%),652.76,604.82,693.89,812.45,822.62,745.85,524.84,446.29,525.79,497.21
EBITDA,340,381,438,492,566,625,689,791,853,848
EBITDA-CapEx,299,311,375,434,476,505,604,702,759,761
Operating Income (Loss),314,345,405,454,521,572,629,726,780,768
