,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Market Capitalization,5928,7421,8517,10973,10991,14480,9984,18729,15622,19417
- Cash & Cash Equivalents,98,536,275,233,147,457,763,1215,421,368
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0,0,0,0,0
+ Minority/Non Controlling Interest,0,0,0,0,0,0,0,0,0,0
+ Total Debt,2756,1467,440,937,927,931,5475,5202,4859,4749
Enterprise Value,8586,8352,8682,11676,11771,14954,14695,22717,20061,23798
Total Capital,5054,3899,2490,3111,3216,3422,7824,8011,7059,6947
Total Debt/Capital (%),54.53,37.63,17.67,30.10,28.81,27.19,69.98,64.94,68.83,68.36
Total Debt / EV,0.32,0.18,0.05,0.08,0.08,0.06,0.37,0.23,0.24,0.20
EV/Sales,1.37,1.23,1.25,1.63,1.46,1.76,1.88,3.16,2.08,2.27
EV/EBITDA,13.59,11.15,9.46,12.40,10.87,12.59,18.51,22.58,13.12,15.07
EV/EBIT,26.24,19.44,13.83,17.45,15.28,17.56,33.54,34.67,17.29,19.98
EV/Cash Flow to Firm,14.79,2.71,9.47,12.54,10.12,11.42,20.12,17.95,15.22,14.66
EV/Free Cash Flow to Firm,8.63,2.48,7.43,9.36,7.47,8.38,12.00,14.80,11.84,10.87
Diluted Market Cap,5968,7599,8725,11024,11210,14753,9431,18878,16259,19711
Diluted Enterprise Value,8625,8530,8890,11727,11990,15227,14143,22865,20698,24091
EV per Share,64.89,65.94,68.79,93.10,95.28,121.50,113.13,173.73,161.85,196.56
TTM Sales,6286,6764,6934,7170,8080,8510,7807,7196,9630,10488
TTM EBITDA,632,749,918,942,1083,1188,794,1006,1529,1579
TTM Operating Income,327,430,628,669,770,852,438,655,1160,1191
TTM Cash Flow to Firm,580,3077,917,931,1163,1309,730,1266,1318,1624
TTM Free Cash Flow to Firm,995,3373,1168,1247,1577,1785,1224,1535,1695,2189
