,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Price/Earnings,20.51,10.54,22.93,22.70,18.51,20.37,0,29.68,16.91,19.91
Price/Earnings Average,20.55,8.98,21.06,18.49,18.35,19.08,-245.06,22.80,18.94,16.12
Price/Earnings High,22.61,11.32,23.31,23.13,20.83,21.70,-300.69,31.03,22.04,20.39
Price/Earnings Low,18.32,7.01,18.13,15.44,15.87,15.17,-61.23,14.23,14.96,8.53
Price/Book Value,2.58,3.05,4.15,5.05,4.80,5.81,4.25,6.67,7.10,8.83
Price/Book Value Average,2.58,2.60,3.82,4.11,4.76,5.44,5.79,5.12,7.95,7.15
Price/Book Value High,2.84,3.28,4.22,5.14,5.40,6.19,7.10,6.97,9.25,9.05
Price/Book Value Low,2.30,2.03,3.29,3.43,4.12,4.33,1.45,3.20,6.29,3.78
Price/Tangible Book Value,8.35,8.37,16.86,-218.58,182.28,56.10,20.46,19.32,44.07,54.27
Price/Tangible Book Value Average,8.37,7.13,15.49,-178.06,180.66,52.55,27.86,14.84,49.36,43.93
Price/Tangible Book Value High,9.21,8.99,17.15,-222.70,205.10,59.77,34.19,20.20,57.44,55.59
Price/Tangible Book Value Low,7.46,5.56,13.34,-148.65,156.26,41.78,6.96,9.26,39.01,23.24
Price/Sales,0.93,1.11,1.24,1.52,1.37,1.71,1.21,2.60,1.67,1.86
Price/Sales Average,0.94,0.94,1.14,1.24,1.35,1.60,1.64,1.99,1.87,1.51
Price/Sales High,1.03,1.19,1.26,1.55,1.54,1.82,2.02,2.71,2.18,1.91
Price/Sales Low,0.83,0.74,0.98,1.03,1.17,1.27,0.41,1.24,1.48,0.80
Price/Cash Flow,13.37,2.62,11.05,12.08,11.02,11.54,13.26,15.64,12.82,12.65
Price/Cash Flow Average,13.40,2.23,10.15,9.84,10.92,10.81,18.05,12.02,14.36,10.24
Price/Cash Flow High,14.74,2.81,11.24,12.31,12.40,12.29,22.15,16.35,16.71,12.96
Price/Cash Flow Low,11.95,1.74,8.74,8.22,9.45,8.59,4.51,7.50,11.35,5.42
Price/Free Cash Flow,6.99,2.41,8.47,9.07,7.92,8.50,7.82,12.90,9.96,9.34
Price/Free Cash Flow Average,7.00,2.05,7.78,7.39,7.85,7.96,10.65,9.91,11.15,7.56
Price/Free Cash Flow High,7.71,2.58,8.62,9.24,8.91,9.06,13.07,13.49,12.98,9.57
Price/Free Cash Flow Low,6.25,1.60,6.70,6.17,6.79,6.33,2.66,6.19,8.81,4.00
EV/Sales,1.37,1.23,1.25,1.63,1.46,1.76,1.88,3.16,2.08,2.27
EV/Sales Average,1.37,1.07,1.15,1.34,1.44,1.65,2.34,2.55,2.28,1.92
EV/Sales High,1.46,1.32,1.27,1.66,1.63,1.87,2.74,3.27,2.58,2.31
EV/Sales Low,1.27,0.87,1.00,1.14,1.26,1.32,1.04,1.80,1.90,1.21
EV/EBITDA,13.59,11.15,9.46,12.40,10.87,12.59,18.51,22.58,13.12,15.07
EV/EBITDA Average,13.61,9.69,8.70,10.24,10.78,11.81,23.06,18.26,14.35,12.73
EV/EBITDA High,14.55,11.88,9.61,12.61,12.14,13.38,26.94,23.42,16.22,15.37
EV/EBITDA Low,12.59,7.83,7.52,8.67,9.42,9.47,10.21,12.89,11.95,8.04
EV/EBIT,26.24,19.44,13.83,17.45,15.28,17.56,33.54,34.67,17.29,19.98
EV/EBIT Average,26.28,16.88,12.72,14.41,15.16,16.49,41.78,28.05,18.91,16.87
EV/EBIT High,28.09,20.71,14.05,17.76,17.07,18.67,48.83,35.96,21.38,20.37
EV/EBIT Low,24.31,13.65,10.99,12.20,13.25,13.22,18.51,19.79,15.75,10.66
Last Price,44.80,58.59,67.48,87.49,88.97,117.65,76.86,143.23,126.04,160.38
High Price,49.39,62.91,68.62,89.14,100.11,125.33,128.41,149.73,164.28,164.28
Low Price,40.03,38.94,53.38,59.50,76.27,87.61,26.15,68.68,111.57,68.68
Enterprise Value,8586,8352,8682,11676,11771,14954,14695,22717,20061,23798
Enterprise Value Average,8598,7255,7988,9642,11674,14037,18306,18378,21938,20100
Enterprise Value High,9192,8900,8826,11883,13147,15899,21391,23567,24801,24270
Enterprise Value Low,7954,5864,6903,8166,10202,11256,8109,12968,18267,12696
