,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Price/Earnings,14.94,14.64,17.09,17.29,14.70,15.14,17.38,14.37,25.39,21.16
Price/Earnings Average,15.17,12.62,16.88,16.07,14.33,14.75,16.89,13.86,24.14,22.28
Price/Earnings High,16.52,15.11,19.33,17.63,15.68,16.64,18.10,16.29,26.34,25.25
Price/Earnings Low,13.59,10.79,15.35,13.69,12.97,12.96,14.46,8.55,20.95,18.12
Price/Book Value,1.24,1.56,1.40,1.65,1.73,1.65,1.79,1.57,2.62,2.31
Price/Book Value Average,1.26,1.35,1.38,1.53,1.69,1.60,1.74,1.52,2.49,2.43
Price/Book Value High,1.37,1.61,1.58,1.68,1.85,1.81,1.86,1.78,2.72,2.76
Price/Book Value Low,1.13,1.15,1.25,1.30,1.53,1.41,1.49,0.93,2.16,1.98
Price/Tangible Book Value,1.72,2.13,1.86,2.36,2.45,2.25,3.02,2.54,3.53,2.93
Price/Tangible Book Value Average,1.74,1.84,1.84,2.19,2.38,2.19,2.94,2.45,3.36,3.09
Price/Tangible Book Value High,1.90,2.20,2.11,2.41,2.61,2.47,3.15,2.87,3.67,3.50
Price/Tangible Book Value Low,1.56,1.57,1.67,1.87,2.16,1.93,2.52,1.51,2.92,2.51
Price/Sales,1.02,1.08,1.20,1.41,1.32,1.19,1.60,1.61,1.54,1.19
Price/Sales Average,1.04,0.93,1.19,1.31,1.29,1.16,1.56,1.56,1.46,1.25
Price/Sales High,1.13,1.11,1.36,1.44,1.41,1.31,1.67,1.83,1.60,1.42
Price/Sales Low,0.93,0.79,1.08,1.12,1.17,1.02,1.33,0.96,1.27,1.02
Price/Cash Flow,4.59,7.21,6.50,7.20,7.88,6.33,7.67,5.32,7.51,11.59
Price/Cash Flow Average,4.65,6.21,6.42,6.69,7.67,6.17,7.45,5.13,7.14,12.20
Price/Cash Flow High,5.07,7.44,7.36,7.34,8.40,6.95,7.99,6.03,7.79,13.83
Price/Cash Flow Low,4.17,5.31,5.84,5.70,6.95,5.42,6.38,3.16,6.20,9.93
Price/Free Cash Flow,2.45,3.41,3.16,3.63,3.82,3.15,3.60,2.60,3.38,4.30
Price/Free Cash Flow Average,2.49,2.94,3.12,3.38,3.72,3.06,3.50,2.51,3.22,4.53
Price/Free Cash Flow High,2.71,3.52,3.58,3.71,4.07,3.46,3.75,2.95,3.51,5.13
Price/Free Cash Flow Low,2.23,2.51,2.84,2.88,3.37,2.69,2.99,1.55,2.79,3.68
EV/Sales,1.89,1.81,2.15,2.56,2.38,2.23,3.06,3.21,2.76,2.26
EV/Sales Average,1.90,1.66,2.14,2.46,2.35,2.20,3.01,3.15,2.69,2.32
EV/Sales High,2.00,1.84,2.31,2.59,2.47,2.35,3.13,3.42,2.82,2.50
EV/Sales Low,1.79,1.52,2.03,2.27,2.23,2.06,2.78,2.55,2.49,2.08
EV/EBITDA,7.93,8.16,10.13,11.21,11.06,11.55,12.99,11.27,13.72,13.39
EV/EBITDA Average,8.00,7.49,10.06,10.77,10.90,11.39,12.80,11.07,13.34,13.78
EV/EBITDA High,8.39,8.32,10.87,11.33,11.46,12.16,13.29,12.03,14.01,14.83
EV/EBITDA Low,7.54,6.89,9.55,9.92,10.33,10.65,11.81,8.96,12.38,12.32
EV/EBIT,15.14,14.09,16.54,18.75,17.81,19.56,22.52,19.31,26.59,24.48
EV/EBIT Average,15.27,12.93,16.43,18.02,17.55,19.28,22.18,18.97,25.86,25.20
EV/EBIT High,16.02,14.36,17.76,18.95,18.46,20.60,23.03,20.62,27.15,27.11
EV/EBIT Low,14.39,11.88,15.60,16.59,16.64,18.04,20.46,15.36,23.99,22.52
Last Price,56.44,74.87,69.40,83.84,93.16,93.71,109.80,101.84,119.32,117.53
High Price,62.40,77.25,78.53,85.49,99.35,102.98,114.36,115.46,123.77,140.23
Low Price,51.34,55.18,62.32,66.39,82.18,80.21,91.34,60.60,98.45,100.64
Enterprise Value,18219,22233,22247,27221,30038,31699,38786,39035,41349,43379
Enterprise Value Average,18369,20402,22100,26160,29610,31259,38196,38343,40213,44655
Enterprise Value High,19274,22655,23886,27518,31150,33385,39661,41675,42211,48047
Enterprise Value Low,17316,18749,20978,24091,28069,29244,35238,31045,37306,39906
