,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cash Ratio,1.70,2.06,1.72,1.21,3.95,6.23,4.26,4.41,3.79,1.34
Current Ratio,2.90,3.59,3.46,2.73,5.36,7.64,5.47,5.58,5.11,1.99
Quick Ratio,2.51,3.10,2.83,2.20,4.92,7.25,5.05,5.11,4.50,1.72
CFO/Avg Current Liab,0.09,0.65,0.91,0.66,0.76,0.68,1.08,0.98,0.66,0.52
Common Equity/Total Assets,-388.00,-269.61,-190.17,-154.15,-74.29,-41.69,-29.04,-4.71,-0.97,8.91
Long-Term Debt/Equity (%),5.47,1.64,0,2.36,78.11,152.31,128.27,99.81,80.00,60.62
Long-Term Debt/Capital (%),-0.98,-0.47,0,-1.09,-95.20,477.68,251.52,111.33,101.51,50.37
Long-Term Debt/Total Assets (%),3.76,1.25,0,1.66,36.23,52.73,47.27,42.49,37.04,23.97
Total Debt/Equity (%),8.09,3.28,1.04,2.36,78.11,152.31,129.81,100.71,80.91,97.82
Total Debt/Capital (%),-1.45,-0.93,-0.42,-1.09,-95.20,477.68,254.54,112.34,102.67,81.28
Total Debt/Total Assets (%),5.55,2.49,0.79,1.66,36.23,52.73,47.84,42.87,37.46,38.68
CFO/Total Liabilities,6.25,53.15,69.21,47.23,18.98,9.83,20.79,19.30,16.94,20.54
CFO/CapEx,0.30,1.46,1.47,1.01,1.39,1.84,1.75,2.39,1.14,1.84
Altman's Z-Score,35.46,55.52,55.74,24.71,6.59,5.66,9.08,9.90,13.48,9.41
